name,developer,rank,platform,release_date,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,game_genre,game_url,game_url_string,meta_game_name,meta_critic_score,meta_critic_count,meta_user_score,meta_user_count,meta_esrb,meta_genre,meta_multiplayer,meta_full_url,release_year,is_series,Matched_Name
Rocksmith 2014 Edition Remastered,Ubisoft  ,99,XOne,2016-10-04,Ubisoft  ,120000,0,0,10000,130000.0,Music,https://www.vgchartz.com/game/132805/rocksmith-2014-edition-remastered/?region=All,rocksmith-2014-edition-remastered,Rocksmith 2014 Edition: Remastered,78,11.0,7.3,4,T,Action,no,https://www.metacritic.com/game/xbox-one/rocksmith-2014-edition-remastered,2016,no,none
Just Sing,Ubisoft  ,134,PS4,2016-09-06,Ubisoft  ,30000,0,0,10000,40000.0,Music,https://www.vgchartz.com/game/130884/just-sing/?region=All,just-sing,Just Sing,60,5.0,6.1,8,E10+,Action,no,https://www.metacritic.com/game/playstation-4/just-sing,2016,no,none
Just Dance 2015,Ubisoft Paris  ,29,WiiU,2014-10-21,Ubisoft  ,400000,290000,0,70000,750000.0,Music,https://www.vgchartz.com/game/82946/just-dance-2015/?region=All,just-dance-2015,Just Dance 2015,75,6.0,6.7,29,E10+,Action,yes,https://www.metacritic.com/game/wii-u/just-dance-2015,2014,yes,Just Dance 2015 Just Dance 2019 Just Dance 2018 Just Dance 2017 Just Dance 2016 Just Dance 2014 Just Dance 4 Just Dance 3
Just Dance 2014,Ubisoft Paris  ,33,WiiU,2013-10-08,Ubisoft  ,340000,250000,0,60000,640000.0,Music,https://www.vgchartz.com/game/73120/just-dance-2014/?region=All,just-dance-2014,Just Dance 2014,72,13.0,7.6,47,E10+,Action,no,https://www.metacritic.com/game/wii-u/just-dance-2014,2013,yes,Just Dance 2014 Just Dance 2019 Just Dance 2018 Just Dance 2017 Just Dance 2016 Just Dance 2015 Just Dance 4 Just Dance 3
Just Dance 2016,Ubisoft Paris  ,37,WiiU,2015-10-20,Ubisoft  ,290000,250000,0,50000,600000.0,Music,https://www.vgchartz.com/game/85742/just-dance-2016/?region=All,just-dance-2016,Just Dance 2016,73,7.0,6.9,14,E10+,Action,no,https://www.metacritic.com/game/wii-u/just-dance-2016,2015,yes,Just Dance 2016 Just Dance 2019 Just Dance 2018 Just Dance 2017 Just Dance 2015 Just Dance 2014 Just Dance 4 Just Dance 3
Just Dance 2015,Ubisoft Paris  ,40,XOne,2014-10-21,Ubisoft  ,360000,130000,0,50000,540000.0,Music,https://www.vgchartz.com/game/82945/just-dance-2015/?region=All,just-dance-2015,Just Dance 2015,70,17.0,7.4,21,E10+,Action,no,https://www.metacritic.com/game/xbox-one/just-dance-2015,2014,yes,Just Dance 2015 Just Dance 2019 Just Dance 2018 Just Dance 2017 Just Dance 2016 Just Dance 2014 Just Dance 4 Just Dance 3
Just Dance 2014,Ubisoft Paris  ,41,XOne,2013-11-22,Ubisoft  ,310000,120000,0,40000,480000.0,Music,https://www.vgchartz.com/game/73117/just-dance-2014/?region=All,just-dance-2014,Just Dance 2014,71,6.0,7.0,58,E10+,Dancing,no,https://www.metacritic.com/game/xbox-one/just-dance-2014,2013,yes,Just Dance 2014 Just Dance 2019 Just Dance 2018 Just Dance 2017 Just Dance 2016 Just Dance 2015 Just Dance 4 Just Dance 3
Just Dance 2014,Ubisoft Paris  ,42,PS4,2013-11-15,Ubisoft  ,210000,180000,0,80000,470000.0,Music,https://www.vgchartz.com/game/73115/just-dance-2014/?region=All,just-dance-2014,Just Dance 2014,75,4.0,5.7,56,E10+,Action,yes,https://www.metacritic.com/game/playstation-4/just-dance-2014,2013,yes,Just Dance 2014 Just Dance 2019 Just Dance 2018 Just Dance 2017 Just Dance 2016 Just Dance 2015 Just Dance 4 Just Dance 3
Just Dance 2017,Ubisoft Paris  ,44,WiiU,2016-10-25,Ubisoft  ,190000,210000,0,40000,430000.0,Music,https://www.vgchartz.com/game/119949/just-dance-2017/?region=All,just-dance-2017,Just Dance 2017,77,10.0,7.1,7,E10+,Action,no,https://www.metacritic.com/game/wii-u/just-dance-2017,2016,yes,Just Dance 2017 Just Dance 2019 Just Dance 2018 Just Dance 2016 Just Dance 2015 Just Dance 2014 Just Dance 4 Just Dance 3
Just Dance 2015,Ubisoft Paris  ,46,PS4,2014-10-21,Ubisoft  ,210000,130000,0,70000,410000.0,Music,https://www.vgchartz.com/game/82951/just-dance-2015/?region=All,just-dance-2015,Just Dance 2015,72,8.0,5.9,34,E10+,Action,yes,https://www.metacritic.com/game/playstation-4/just-dance-2015,2014,yes,Just Dance 2015 Just Dance 2019 Just Dance 2018 Just Dance 2017 Just Dance 2016 Just Dance 2014 Just Dance 4 Just Dance 3
Just Dance 2016,Ubisoft Paris  ,49,PS4,2015-10-20,Ubisoft  ,190000,130000,0,70000,390000.0,Music,https://www.vgchartz.com/game/85740/just-dance-2016/?region=All,just-dance-2016,Just Dance 2016,73,10.0,5.8,26,E10+,Action,yes,https://www.metacritic.com/game/playstation-4/just-dance-2016,2015,yes,Just Dance 2016 Just Dance 2019 Just Dance 2018 Just Dance 2017 Just Dance 2015 Just Dance 2014 Just Dance 4 Just Dance 3
Just Dance 2016,Ubisoft Paris  ,52,XOne,2015-10-20,Ubisoft  ,300000,40000,0,40000,380000.0,Music,https://www.vgchartz.com/game/85744/just-dance-2016/?region=All,just-dance-2016,Just Dance 2016,66,10.0,6.1,18,E10+,Action,no,https://www.metacritic.com/game/xbox-one/just-dance-2016,2015,yes,Just Dance 2016 Just Dance 2019 Just Dance 2018 Just Dance 2017 Just Dance 2015 Just Dance 2014 Just Dance 4 Just Dance 3
Just Dance 2017,Ubisoft Paris  ,56,XOne,2016-10-25,Ubisoft  ,250000,50000,0,30000,340000.0,Music,https://www.vgchartz.com/game/119951/just-dance-2017/?region=All,just-dance-2017,Just Dance 2017,73,7.0,6.6,11,E10+,Action,no,https://www.metacritic.com/game/xbox-one/just-dance-2017,2016,yes,Just Dance 2017 Just Dance 2019 Just Dance 2018 Just Dance 2016 Just Dance 2015 Just Dance 2014 Just Dance 4 Just Dance 3
Just Dance 2018,Ubisoft Paris  ,62,PS4,2017-10-24,Ubisoft  ,100000,150000,0,50000,300000.0,Music,https://www.vgchartz.com/game/203195/just-dance-2018/?region=All,just-dance-2018,Just Dance 2018,75,12.0,5.7,17,E10+,Action,yes,https://www.metacritic.com/game/playstation-4/just-dance-2018,2017,yes,Just Dance 2018 Just Dance 2019 Just Dance 2017 Just Dance 2016 Just Dance 2015 Just Dance 2014 Just Dance 4 Just Dance 3
Just Dance 2018,Ubisoft Paris  ,76,XOne,2017-10-24,Ubisoft  ,150000,40000,0,20000,210000.0,Music,https://www.vgchartz.com/game/203196/just-dance-2018/?region=All,just-dance-2018,Just Dance 2018,65,10.0,2.6,8,E10+,Action,no,https://www.metacritic.com/game/xbox-one/just-dance-2018,2017,yes,Just Dance 2018 Just Dance 2019 Just Dance 2017 Just Dance 2016 Just Dance 2015 Just Dance 2014 Just Dance 4 Just Dance 3
Just Dance 2019,Ubisoft Paris  ,86,PS4,2018-10-23,Ubisoft  ,110000,30000,0,30000,170000.0,Music,https://www.vgchartz.com/game/222188/just-dance-2019/?region=All,just-dance-2019,Just Dance 2019,77,5.0,6.1,10,E,Action,no,https://www.metacritic.com/game/playstation-4/just-dance-2019,2018,yes,Just Dance 2019 Just Dance 2018 Just Dance 2017 Just Dance 2016 Just Dance 2015 Just Dance 2014 Just Dance 4 Just Dance 3
Just Dance 2018,Ubisoft Paris  ,87,WiiU,2017-10-24,Ubisoft  ,70000,90000,0,10000,170000.0,Music,https://www.vgchartz.com/game/203197/just-dance-2018/?region=All,just-dance-2018,Just Dance 2018,77,10.0,4.3,9,E10+,Action,no,https://www.metacritic.com/game/wii-u/just-dance-2018,2017,yes,Just Dance 2018 Just Dance 2019 Just Dance 2017 Just Dance 2016 Just Dance 2015 Just Dance 2014 Just Dance 4 Just Dance 3
Just Dance 2019,Ubisoft Paris  ,90,XOne,2018-10-23,Ubisoft  ,130000,10000,0,20000,150000.0,Music,https://www.vgchartz.com/game/222184/just-dance-2019/?region=All,just-dance-2019,Just Dance 2019,77,8.0,6.1,12,E,Action,no,https://www.metacritic.com/game/xbox-one/just-dance-2019,2018,yes,Just Dance 2019 Just Dance 2018 Just Dance 2017 Just Dance 2016 Just Dance 2015 Just Dance 2014 Just Dance 4 Just Dance 3
Just Dance 2019,Ubisoft Paris  ,110,WiiU,2018-10-23,Ubisoft  ,60000,30000,0,10000,100000.0,Music,https://www.vgchartz.com/game/222186/just-dance-2019/?region=All,just-dance-2019,Just Dance 2019,66,10.0,6.2,6,E,Action,no,https://www.metacritic.com/game/wii-u/just-dance-2019,2018,yes,Just Dance 2019 Just Dance 2018 Just Dance 2017 Just Dance 2016 Just Dance 2015 Just Dance 2014 Just Dance 4 Just Dance 3
Rock Band 4,Harmonix Music Systems  ,28,XOne,2015-10-06,Harmonix Music Systems  ,620000,50000,0,80000,750000.0,Music,https://www.vgchartz.com/game/85234/rock-band-4/?region=All,rock-band-4,Rock Band 4,79,27.0,6.5,56,T,Action,yes,https://www.metacritic.com/game/xbox-one/rock-band-4,2015,yes,Rock Band 4 Rock Band 3 Rock Band 2 Rock Band LEGO Rock Band
Rock Band 4,Harmonix Music Systems  ,38,PS4,2015-10-06,Harmonix Music Systems  ,410000,60000,0,100000,570000.0,Music,https://www.vgchartz.com/game/85235/rock-band-4/?region=All,rock-band-4,Rock Band 4,78,51.0,6.4,101,T,Action,yes,https://www.metacritic.com/game/playstation-4/rock-band-4,2015,yes,Rock Band 4 Rock Band 3 Rock Band 2 Rock Band LEGO Rock Band
Fantasia: Music Evolved,Harmonix Music Systems  ,80,XOne,2014-10-21,Disney Interactive Studios  ,140000,30000,0,20000,190000.0,Music,https://www.vgchartz.com/game/73087/fantasia-music-evolved/?region=All,fantasia-music-evolved,Fantasia: Music Evolved,77,48.0,7.5,70,E10+,Music,no,https://www.metacritic.com/game/xbox-one/fantasia-music-evolved,2014,no,none
Guitar Hero Live,FreeStyleGames  ,15,PS4,2015-10-20,Activision  ,520000,490000,0,200000,1210000.0,Music,https://www.vgchartz.com/game/85382/guitar-hero-live/?region=All,guitar-hero-live,Guitar Hero Live,80,69.0,6.2,186,T,Action,no,https://www.metacritic.com/game/playstation-4/guitar-hero-live,2015,yes,Guitar Hero Live Guitar Hero 5 Guitar Hero Guitar Hero II
Guitar Hero Live,FreeStyleGames  ,24,XOne,2015-10-20,Activision  ,520000,230000,0,80000,830000.0,Music,https://www.vgchartz.com/game/85380/guitar-hero-live/?region=All,guitar-hero-live,Guitar Hero Live,81,21.0,5.1,76,T,Action,no,https://www.metacritic.com/game/xbox-one/guitar-hero-live,2015,yes,Guitar Hero Live Guitar Hero 5 Guitar Hero Guitar Hero II
Guitar Hero Live,FreeStyleGames  ,68,WiiU,2015-10-20,Activision  ,180000,60000,0,30000,270000.0,Music,https://www.vgchartz.com/game/85379/guitar-hero-live/?region=All,guitar-hero-live,Guitar Hero Live,84,4.0,6.3,40,T,Action,no,https://www.metacritic.com/game/wii-u/guitar-hero-live,2015,yes,Guitar Hero Live Guitar Hero 5 Guitar Hero Guitar Hero II
Hatsune Miku: Project Diva X,Sega  ,97,PS4,2016-08-30,Sega  ,80000,0,40000,20000,130000.0,Music,https://www.vgchartz.com/game/85878/hatsune-miku-project-diva-x/?region=All,hatsune-miku-project-diva-x,Hatsune Miku: Project Diva X,78,22.0,7.3,72,T,Action,no,https://www.metacritic.com/game/playstation-4/hatsune-miku-project-diva-x,2016,yes,Hatsune Miku: Project Diva X Hatsune Miku: Project Diva F 2nd Hatsune Miku: Project Mirai DX Hatsune Miku: Project Mirai 2
SingStar Celebration,SIE London Studio  ,74,PS4,2017-10-24,Sony Interactive Entertainment  ,40000,150000,0,30000,230000.0,Music,https://www.vgchartz.com/game/203231/singstar-celebration/?region=All,singstar-celebration,SingStar Celebration,65,13.0,6.0,8,T,Action,no,https://www.metacritic.com/game/playstation-4/singstar-celebration,2017,no,none
Persona Dancing: Endless Night Collection,Atlus  ,100,PS4,2018-12-04,Atlus  ,70000,0,40000,20000,130000.0,Music,https://www.vgchartz.com/game/222071/persona-dancing-endless-night-collection/?region=All,persona-dancing-endless-night-collection,Persona Dancing: Endless Night Collection,75,19.0,6.8,20,T,Miscellaneous,no,https://www.metacritic.com/game/playstation-4/persona-dancing-endless-night-collection,2018,no,none
Persona 5: Dancing in Starlight,Atlus  ,127,PS4,2018-12-04,Atlus  ,30000,0,30000,10000,60000.0,Music,https://www.vgchartz.com/game/220290/persona-5-dancing-in-starlight/?region=All,persona-5-dancing-in-starlight,Persona 5: Dancing in Starlight,72,28.0,5.9,77,T,Action,no,https://www.metacritic.com/game/playstation-4/persona-5-dancing-in-starlight,2018,yes,Persona 5: Dancing in Starlight Persona 3: Dancing in Moonlight Persona 4: Dancing All Night
Persona 3: Dancing in Moonlight,Atlus  ,135,PS4,2018-12-04,Atlus  ,20000,0,10000,10000,40000.0,Music,https://www.vgchartz.com/game/220288/persona-3-dancing-in-moonlight/?region=All,persona-3-dancing-in-moonlight,Persona 3: Dancing in Moonlight,73,26.0,6.0,46,T,Action,no,https://www.metacritic.com/game/playstation-4/persona-3-dancing-in-moonlight,2018,yes,Persona 3: Dancing in Moonlight Persona 5: Dancing in Starlight Persona 4: Dancing All Night
PaRappa the Rapper Remastered,SIE Japan Studio  ,146,PS4,2017-04-04,Sony Interactive Entertainment  ,0,0,20000,0,20000.0,Music,https://www.vgchartz.com/game/177911/parappa-the-rapper-remastered/?region=All,parappa-the-rapper-remastered,PaRappa the Rapper Remastered,61,34.0,5.3,61,E,Action,no,https://www.metacritic.com/game/playstation-4/parappa-the-rapper-remastered,2017,yes,PaRappa the Rapper Remastered PaRappa The Rapper 2 PaRappa The Rapper
Patapon Remastered,SIE Japan Studio  ,149,PS4,2017-08-01,Sony Interactive Entertainment  ,0,0,20000,0,20000.0,Music,https://www.vgchartz.com/game/207598/patapon-remastered/?region=All,patapon-remastered,Patapon,72,29.0,6.2,35,E,Action,no,https://www.metacritic.com/game/playstation-4/patapon-remastered,2017,no,none
Animal Crossing: Amiibo Festival,"Nd Cube Co., Ltd.  ",17,WiiU,2015-11-13,Nintendo  ,230000,120000,100000,40000,490000.0,Party,https://www.vgchartz.com/game/85738/animal-crossing-amiibo-festival/?region=All,animal-crossing-amiibo-festival,Animal Crossing: amiibo Festival,46,20.0,4.2,209,E,Miscellaneous,no,https://www.metacritic.com/game/wii-u/animal-crossing-amiibo-festival,2015,no,none
Knowledge is Power,Wish Studio  ,16,PS4,2017-10-24,Sony Interactive Entertainment  ,50000,470000,0,90000,610000.0,Party,https://www.vgchartz.com/game/210248/knowledge-is-power/?region=All,knowledge-is-power,Knowledge is Power,71,22.0,7.1,35,T,Miscellaneous,yes,https://www.metacritic.com/game/playstation-4/knowledge-is-power,2017,no,none
That's You!,Wish Studio  ,41,PS4,2017-10-24,Sony Interactive Entertainment  ,40000,0,0,10000,40000.0,Party,https://www.vgchartz.com/game/212046/thats-you/?region=All,thats-you,That's You!,70,27.0,7.2,36,T,Miscellaneous,yes,https://www.metacritic.com/game/playstation-4/thats-you,2017,no,none
Sing Party,FreeStyleGames  ,23,WiiU,2012-11-18,Nintendo  ,150000,130000,0,30000,300000.0,Party,https://www.vgchartz.com/game/71149/sing-party/?region=All,sing-party,SiNG Party,60,21.0,5.5,19,E10+,Action,yes,https://www.metacritic.com/game/wii-u/sing-party,2012,yes,Sing Party Singularity
