Developer,Global Sales,Releases,Critic Rating,User Rating,Sales Per Release,Average Critic Rating,Average User Rating,rating
MLB Advanced Media,130000.0,1,32,4.6,130000.0,32.0,4.6,bad
Platinum Egg,130000.0,1,41,6.3,130000.0,41.0,6.3,bad
Venan Entertainment / Cashmere Productions,130000.0,1,80,8.4,130000.0,80.0,8.4,very good
Super X Studios,130000.0,1,60,7.2,130000.0,60.0,7.2,ok
Artefacts Studio,130000.0,2,133,12.5,65000.0,66.5,6.2,good
Success,130000.0,3,189,22.0,43333.333333333336,63.0,7.3,good
Syscom Entertainment,130000.0,1,63,6.2,130000.0,63.0,6.2,good
Taniko,130000.0,1,51,3.7,130000.0,51.0,3.7,ok
Sunflower Studios,130000.0,1,78,7.6,130000.0,78.0,7.6,very good
GlyphX Games,130000.0,1,68,7.5,130000.0,68.0,7.5,good
G-Artists,130000.0,2,127,15.1,65000.0,63.5,7.6,good
Sony Computer Entertainment America,120000.0,1,66,7.7,120000.0,66.0,7.7,good
505 Games,120000.0,1,37,4.8,120000.0,37.0,4.8,bad
Atomic Motion,120000.0,2,77,6.6,60000.0,38.5,3.3,bad
Black Box Games,120000.0,2,164,16.0,60000.0,82.0,8.0,very good
Mastiff,120000.0,1,46,4.3,120000.0,46.0,4.3,ok
System 3 Software,120000.0,1,61,4.8,120000.0,61.0,4.8,good
Unique Development Studios Sweden,120000.0,2,117,12.9,60000.0,58.5,6.4,ok
"Orbital Media, Inc.",120000.0,2,153,15.4,60000.0,76.5,7.7,very good
"Unknown Worlds Entertainment, Panic Button",120000.0,1,80,7.6,120000.0,80.0,7.6,very good
Beep Industries,120000.0,1,73,8.1,120000.0,73.0,8.1,good
