Game,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date,Unnamed: 0,Watch_time,Stream_time,Peak_viewers,Peak_channels,Streamers,Average_viewers,Average_channels,Average_viewer_ratio
Colin McRae Rally 2005,50000.0,40000.0,10000.0,0.0,0.0,83.0,7.5,2004-09-28,12497,252360,16320,943,3,39,0,0,49.06
Collar x Malice,50000.0,10000.0,0.0,30000.0,10000.0,74.0,8.6,2017-07-28,15576,109800,4200,69,1,4,0,0,26.14
College Hoops 2K8,320000.0,290000.0,0.0,0.0,20000.0,81.5,6.4,2007-11-19,15233,121020,22980,180,5,39,0,0,20.89
Colosseum: Road to Freedom,70000.0,30000.0,30000.0,0.0,10000.0,56.0,8.3,2005-07-20,16157,93420,12660,232,4,30,0,0,22.73
Commander: Conquest of the Americas,30000.0,0.0,20000.0,0.0,0.0,68.0,5.3,2010-07-30,23672,6660,1740,10,1,12,0,0,3.83
Commandos 2: Men of Courage,70000.0,50000.0,20000.0,0.0,0.0,67.0,8.3,2002-09-18,5507,2743560,148740,19994,10,348,3,0,82.22
Company of Heroes,40000.0,0.0,40000.0,0.0,0.0,93.0,8.8,2006-09-13,1688,29416560,1988880,42013,37,4943,54,0,74.33
Company of Heroes: Opposing Fronts,40000.0,10000.0,30000.0,0.0,0.0,87.0,8.6,2007-09-24,13009,221100,42120,160,8,86,0,0,19.96
Company of Heroes: Tales of Valor,40000.0,0.0,30000.0,0.0,10000.0,70.0,7.2,2009-04-07,1592,32409180,2274360,1935,35,1533,59,0,71.22
Conan,530000.0,290000.0,170000.0,0.0,60000.0,69.0,7.2,2007-10-23,7686,1104540,118380,4539,12,430,1,0,55.96
Conan Exiles,270000.0,100000.0,60000.0,90000.0,30000.0,66.0,5.5,2018-05-08,114,1703734740,69926040,290873,1910,85174,3241,131,85.94
Conception II: Children of the Seven Stars,300000.0,200000.0,0.0,70000.0,50000.0,62.0,7.4,2014-04-15,7221,1318080,175560,1882,17,397,1,0,29.79
Condemned 2: Bloodshot,1020000.0,550000.0,350000.0,0.0,120000.0,81.0,8.2,2008-03-11,4818,3842580,69420,4516,8,164,5,0,250.51
Conduit 2,120000.0,70000.0,40000.0,0.0,10000.0,64.0,7.6,2011-04-19,24007,4560,1260,8,1,6,0,0,3.62
Conflict: Desert Storm,2520000.0,1520000.0,920000.0,0.0,80000.0,60.7,8.2,2002-09-30,23166,10320,4740,14,1,27,0,0,2.18
Constantine,170000.0,90000.0,50000.0,0.0,10000.0,59.0,7.4,2005-02-14,14425,150360,24240,452,4,76,0,0,17.96
Contra: Shattered Soldier,580000.0,280000.0,220000.0,0.0,70000.0,78.0,7.2,2002-10-22,3897,6088680,36840,115226,13,84,11,0,296.76
Cooking Mama,5660000.0,3090000.0,1920000.0,70000.0,580000.0,67.0,7.3,2006-09-12,5739,2455200,66300,7929,7,385,2,0,152.07
Corpse Party,50000.0,0.0,0.0,50000.0,0.0,71.0,8.5,2011-11-22,1412,39597600,1234740,22939,49,2813,73,0,134.3
Corpse Party: Blood Drive,230000.0,110000.0,10000.0,60000.0,40000.0,60.0,7.4,2015-10-13,4308,4970040,188700,3339,14,314,8,0,103.85
Corpse Party: Book of Shadows,40000.0,0.0,0.0,40000.0,0.0,67.0,8.2,2011-09-01,4348,4854960,256680,4243,19,398,7,0,95.52
Corvette,1570000.0,830000.0,560000.0,0.0,180000.0,55.0,7.4,2004-03-09,17060,74460,3660,1187,2,7,0,0,41.49
Cory in the House,110000.0,100000.0,0.0,0.0,10000.0,53.0,9.5,2008-04-15,9574,593340,39240,2175,7,147,0,0,58.48
Cossacks: European Wars,30000.0,0.0,20000.0,0.0,0.0,74.0,8.0,2001-04-14,10320,471600,10320,3285,3,25,0,0,68.82
Countdown Vampires,40000.0,20000.0,10000.0,0.0,0.0,41.0,6.5,2000-08-21,5750,2445660,35400,5735,7,83,3,0,202.73
Crackdown,1750000.0,1000000.0,530000.0,30000.0,180000.0,83.0,7.9,2007-02-20,8665,786840,214740,851,14,1075,0,0,21.71
Crackdown 2,1120000.0,630000.0,360000.0,20000.0,100000.0,70.0,6.0,2010-07-06,13921,172800,46560,333,6,167,0,0,12.69
Cranium Kabookii,140000.0,130000.0,0.0,0.0,10000.0,64.0,5.4,2007-12-04,25387,900,120,9,1,1,0,0,7.5
Crash Bandicoot 2: N-Tranced,1360000.0,630000.0,660000.0,0.0,70000.0,75.0,7.5,2003-01-07,6888,1504920,51900,6221,7,123,2,0,79.1
Crash Bandicoot Purple: Ripto's Rampage,640000.0,460000.0,170000.0,0.0,10000.0,67.0,6.6,2004-06-03,10308,472980,17400,3162,5,55,0,0,120.3
Crash Bandicoot: The Huge Adventure,1730000.0,950000.0,700000.0,0.0,80000.0,78.0,7.9,2002-02-25,10996,383040,61320,1909,11,243,0,0,25.03
Crash Bandicoot: The Wrath of Cortex,7240000.0,3120000.0,2980000.0,240000.0,910000.0,66.0,7.3,2001-10-29,3935,5963460,556380,5049,29,1675,9,0,53.73
Crash Bash,3390000.0,1560000.0,1470000.0,190000.0,170000.0,68.0,8.2,2000-11-06,2015,21297060,822120,11748,60,1777,38,0,126.09
Crash Nitro Kart,2980000.0,1510000.0,1250000.0,0.0,230000.0,70.5,8.0,2003-11-13,7350,1251540,125640,4550,10,477,0,0,43.4
Crash Tag Team Racing,1080000.0,640000.0,330000.0,0.0,100000.0,67.2,7.6,2005-10-19,7186,1340460,117180,6924,11,459,1,0,41.05
Crash Team Racing,4790000.0,2570000.0,1570000.0,440000.0,210000.0,88.0,9.0,1999-09-30,1272,47514660,2072700,203466,73,6820,88,1,119.09
Crash of the Titans,2300000.0,1670000.0,320000.0,0.0,300000.0,71.6,6.5,2007-10-02,9698,570720,67200,1874,8,256,0,0,37.23
Crash: Mind Over Mutant,1830000.0,1200000.0,450000.0,0.0,170000.0,62.0,6.0,2008-10-07,12179,274680,25620,761,4,92,0,0,51.77
Crazy Taxi,3010000.0,1490000.0,1210000.0,80000.0,230000.0,74.5,7.7,2001-05-14,3023,10224540,446520,24768,25,2901,18,0,128.11
Crazy Taxi 2,70000.0,0.0,0.0,70000.0,0.0,82.0,8.2,2001-05-28,10043,511020,14700,9346,6,68,0,0,94.47
Crazy Taxi 3: High Roller,200000.0,140000.0,40000.0,20000.0,10000.0,69.0,8.6,2002-07-24,7774,1065240,6720,8921,3,38,2,0,286.94
Crazy Taxi: Catch a Ride,300000.0,210000.0,80000.0,0.0,10000.0,48.0,6.1,2003-04-09,16612,83220,360,1541,1,2,0,0,231.17
Crazy Taxi: Fare Wars,480000.0,100000.0,230000.0,20000.0,130000.0,64.0,7.0,2007-08-07,20692,29160,300,164,1,2,0,0,97.2
Create,360000.0,250000.0,70000.0,0.0,30000.0,58.3,5.7,2010-11-16,7080,1399380,281700,2743,15,861,1,0,22.890000000000004
Creed: Rise to Glory,190000.0,150000.0,0.0,0.0,40000.0,73.0,6.5,2018-09-25,2990,10475280,103380,17499,10,1870,19,0,195.92
Crime Life: Gang Wars,50000.0,40000.0,10000.0,0.0,0.0,30.0,4.8,2005-11-22,18370,52620,13680,49,2,32,0,0,7.81
Criminal Girls 2: Party Favors,90000.0,30000.0,10000.0,30000.0,10000.0,67.0,8.1,2016-10-11,9690,571620,9960,576,2,16,0,0,121.63
Criminal Girls: Invite Only,70000.0,10000.0,10000.0,40000.0,10000.0,55.0,6.7,2015-02-03,16541,84600,27300,45,6,70,0,0,6.3900000000000015
Crimson Gem Saga,60000.0,60000.0,0.0,0.0,0.0,78.0,7.6,2009-05-26,23605,7320,1440,37,1,6,0,0,5.08
Crimson Skies: High Road to Revenge,870000.0,650000.0,190000.0,0.0,30000.0,88.0,8.8,2003-10-21,20100,33720,11280,84,3,66,0,0,6.1099999999999985
Cross Edge,230000.0,140000.0,20000.0,50000.0,20000.0,52.0,6.4,2009-05-26,20766,28500,27960,11,2,6,0,0,1.02
"Crouching Tiger, Hidden Dragon",140000.0,70000.0,50000.0,0.0,20000.0,50.0,4.0,2003-10-09,17826,60600,1680,268,1,8,0,0,36.07
Cruis'n,120000.0,100000.0,10000.0,0.0,10000.0,25.0,3.7,2007-11-27,24860,1740,360,15,1,2,0,0,4.83
Crush,80000.0,70000.0,0.0,0.0,10000.0,83.0,8.2,2007-05-29,19990,34620,3000,100,2,16,0,0,11.54
Crysis 2,3430000.0,1370000.0,1520000.0,80000.0,470000.0,85.0,7.2,2011-03-22,2823,11627520,997620,11715,23,3783,21,0,45.38
Crysis 3,1830000.0,770000.0,800000.0,40000.0,220000.0,76.5,6.6,2013-02-19,3138,9584040,1129740,19008,23,5411,15,0,33.91
Crystar,20000.0,0.0,0.0,20000.0,0.0,67.0,6.8,2019-08-27,7067,1407000,347700,873,25,541,2,0,8.01
Cubic Ninja,100000.0,50000.0,40000.0,0.0,10000.0,51.0,5.9,2011-06-14,21500,22020,600,183,1,3,0,0,36.7
Cubivore: Survival of the Fittest,170000.0,10000.0,0.0,150000.0,0.0,71.0,8.4,2002-11-05,10656,423360,48060,3373,8,165,0,0,35.51000000000001
Culdcept,30000.0,10000.0,10000.0,0.0,0.0,78.0,8.2,2003-12-04,10284,476100,14160,2118,5,35,0,0,149.5
Culdcept Revolt,70000.0,0.0,0.0,70000.0,0.0,74.0,7.6,2017-10-03,17599,64560,8880,32,3,6,0,0,7.27
Curious George,120000.0,60000.0,50000.0,0.0,20000.0,53.0,7.7,2006-02-01,9553,597060,22860,2932,9,77,0,0,101.13
Curse: The Eye of Isis,10000.0,10000.0,0.0,0.0,0.0,59.0,6.8,2003-12-08,10589,433200,11040,1322,4,34,0,0,92.16
Cursed Mountain,210000.0,90000.0,100000.0,0.0,20000.0,67.0,7.5,2009-08-25,9736,563640,18000,1525,5,54,0,0,127.96999999999998
Custom Robo,370000.0,290000.0,70000.0,0.0,10000.0,65.0,8.1,2004-05-10,4863,3745800,277380,11589,19,652,5,0,50.11
Cy Girls,40000.0,20000.0,10000.0,0.0,0.0,53.0,8.8,2004-03-23,25588,660,180,5,1,1,0,0,3.67
Cyberdimension Neptunia: 4 Goddesses Online,140000.0,60000.0,0.0,70000.0,10000.0,71.0,7.2,2017-10-10,4399,4731780,865080,4424,58,2388,8,0,17.17
DC Universe Online,740000.0,510000.0,170000.0,0.0,80000.0,69.5,7.0,2011-01-11,659,150213960,32458320,16860,389,68548,284,59,21.91
DJ Hero,3090000.0,1580000.0,980000.0,0.0,540000.0,86.0,7.3,2009-10-27,9412,626100,60720,1785,6,260,0,0,33.25
DJ Hero 2,2230000.0,1620000.0,400000.0,0.0,200000.0,86.7,7.9,2010-10-19,9141,675480,70920,1562,8,307,0,0,40.54
DK: King of Swing,240000.0,170000.0,60000.0,0.0,0.0,70.0,5.0,2005-09-19,14850,133860,29700,340,14,60,0,0,18.04
Damnation,160000.0,130000.0,20000.0,0.0,20000.0,36.0,4.2,2009-05-26,12604,245100,23580,252,4,57,0,0,30.98
Dance Central 2,2040000.0,1450000.0,410000.0,10000.0,160000.0,86.0,8.1,2011-10-25,21101,25740,2700,78,1,11,0,0,9.53
Dance Central 3,830000.0,570000.0,190000.0,0.0,70000.0,86.0,7.9,2012-10-16,11688,316440,31680,1069,5,100,0,0,39.94000000000001
Dance Dance Revolution SuperNOVA,1040000.0,870000.0,30000.0,0.0,140000.0,73.0,8.8,2006-09-26,12563,247980,15480,436,4,68,0,0,42.35
Dance Dance Revolution X,1750000.0,850000.0,660000.0,10000.0,220000.0,55.0,6.7,2008-09-12,16408,87420,9360,381,2,29,0,0,18.66
Dance Factory,30000.0,20000.0,10000.0,0.0,0.0,56.0,6.0,2006-08-29,23974,4740,300,22,1,1,0,0,15.8
Danganronpa 2: Goodbye Despair,180000.0,80000.0,50000.0,0.0,40000.0,81.0,8.8,2014-09-02,535,198802560,7253280,47033,122,7351,375,12,138.63
Danganronpa Another Episode: Ultra Despair Girls,220000.0,60000.0,10000.0,120000.0,20000.0,72.0,8.3,2015-09-01,2013,21376740,1020840,23992,30,1545,39,0,108.27
Danganronpa V3: Killing Harmony,430000.0,110000.0,60000.0,200000.0,40000.0,80.5,7.6,2017-09-26,634,158872140,6015720,32367,195,6494,301,10,101.4
Danganronpa: Trigger Happy Havoc,340000.0,90000.0,60000.0,150000.0,50000.0,80.0,8.7,2014-02-11,592,175677300,8146800,87729,125,12134,333,13,111.77
Dante's Inferno,2200000.0,1390000.0,520000.0,70000.0,220000.0,72.7,7.8,2010-02-09,2535,14093220,579540,13317,17,2492,23,0,141.64
Dark Cloud,1540000.0,830000.0,440000.0,80000.0,190000.0,80.0,7.9,2001-05-28,2457,14827680,1745400,3026,32,7132,26,0,42.29
Dark Rose Valkyrie,90000.0,40000.0,0.0,40000.0,10000.0,58.0,6.0,2017-06-06,19973,34740,13680,30,2,29,0,0,2.54
Dark Sector,950000.0,450000.0,360000.0,20000.0,120000.0,72.0,7.4,2008-03-25,9327,641760,96600,1328,8,314,0,0,19.69
Dark Souls,2050000.0,750000.0,530000.0,540000.0,220000.0,89.0,8.9,2011-10-04,64,3113409720,100238340,487836,1423,146817,7367,225,158.13000000000005
Dark Souls II,2040000.0,870000.0,540000.0,420000.0,220000.0,91.0,8.0,2015-04-07,248,591211200,16662720,217059,194,39128,1121,30,179.37
Dark Souls II: Scholar of the First Sin,970000.0,460000.0,300000.0,90000.0,130000.0,88.0,7.9,2015-04-07,159,1022202900,64568040,81973,639,112932,2832,191,77.00999999999998
Dark Void,680000.0,370000.0,220000.0,0.0,80000.0,58.3,5.6,2010-01-19,16234,91560,26940,299,3,101,0,0,7.31
Darkened Skye,10000.0,10000.0,0.0,0.0,0.0,61.0,7.4,2002-11-16,8338,873420,23280,3898,5,50,0,0,157.51
Darkest Dungeon,70000.0,40000.0,10000.0,10000.0,10000.0,84.0,7.9,2018-04-24,80,2380813260,52841520,189453,851,90539,7808,139,254.47
Darkest of Days,100000.0,90000.0,0.0,0.0,10000.0,44.0,4.9,2009-09-08,13953,171420,19500,363,4,76,0,0,35.09
Darksiders,1490000.0,760000.0,480000.0,30000.0,210000.0,82.7,7.8,2010-01-05,1112,60486600,6513720,36298,133,17641,113,10,44.99
Darksiders II,1800000.0,870000.0,710000.0,10000.0,210000.0,84.0,7.7,2012-08-14,935,81053940,9091920,259931,170,24984,150,15,51.01999999999999
Darksiders III,380000.0,240000.0,80000.0,0.0,50000.0,67.7,7.1,2018-11-27,608,169778520,6654120,85106,691,18615,322,11,53.31
Darkspore,110000.0,70000.0,30000.0,0.0,10000.0,65.0,6.0,2011-04-26,19084,43860,3420,196,1,12,0,0,12.82
Darkstalkers Chronicle: The Chaos Tower,150000.0,130000.0,0.0,0.0,10000.0,74.0,7.9,2005-03-24,20381,31500,1320,343,2,12,0,0,55.57
Darkstalkers Resurrection,40000.0,0.0,0.0,40000.0,0.0,81.0,6.9,2013-03-13,6102,2085900,68580,7967,10,148,3,0,153.64
Darkstone,660000.0,370000.0,250000.0,0.0,40000.0,58.0,7.6,2001-01-28,9493,609240,37740,494,6,115,0,0,51.06
Darkwatch,320000.0,160000.0,120000.0,0.0,40000.0,74.0,8.3,2005-08-16,11042,377100,33960,2104,6,123,0,0,41.11
Data East Arcade Classics,90000.0,80000.0,0.0,0.0,10000.0,56.0,8.2,2010-02-16,25540,660,180,6,1,2,0,0,3.67
Dave Mirra Freestyle BMX 2,1850000.0,1020000.0,640000.0,0.0,190000.0,81.3,8.3,2001-08-27,15536,111240,4920,1011,1,28,0,0,22.61
Dawn of Discovery,670000.0,190000.0,410000.0,0.0,70000.0,81.7,8.1,2009-06-25,3283,8812500,442260,15663,18,1174,13,0,96.61
Dawn of Discovery: Venice,10000.0,0.0,0.0,0.0,0.0,78.0,7.7,2010-02-26,3830,6389520,467820,8964,23,1289,10,0,64.07
Dawn of Mana,430000.0,70000.0,50000.0,290000.0,20000.0,57.0,7.4,2007-05-24,14891,132240,23880,821,5,50,0,0,14.25
Daxter,4230000.0,2450000.0,1020000.0,0.0,770000.0,85.0,8.5,2006-03-14,15615,108600,45960,74,6,136,0,0,7.02
Dead Alliance,40000.0,30000.0,0.0,0.0,0.0,43.0,3.4,2017-08-29,8533,822240,94980,2916,17,566,1,0,12.81
Dead Cells,160000.0,120000.0,20000.0,0.0,20000.0,88.0,8.2,2018-08-15,253,576965160,24519780,264321,517,73664,1097,45,70.39
Dead Head Fred,40000.0,40000.0,0.0,0.0,0.0,75.0,7.4,2007-08-28,22388,15540,2940,70,2,6,0,0,10.04
Dead Island,4670000.0,2560000.0,1440000.0,150000.0,530000.0,71.0,6.8,2011-09-06,1604,31848060,6628200,21678,200,27239,56,9,24.52
Dead Rising,120000.0,70000.0,0.0,20000.0,10000.0,76.5,7.4,2016-09-13,889,91403640,3817140,174176,196,11497,172,5,120.44
Dead Rising 2,2970000.0,1250000.0,1100000.0,260000.0,360000.0,75.8,7.0,2016-09-27,1089,62280060,2635260,39102,60,10005,115,3,117.28
Dead Rising 2: Off the Record,590000.0,280000.0,160000.0,100000.0,50000.0,72.0,7.1,2011-10-11,1940,22786260,1257600,19448,46,4446,40,0,95.42
Dead Rising: Chop Till You Drop,290000.0,150000.0,70000.0,50000.0,20000.0,61.0,6.4,2009-02-24,8780,757380,10680,6226,3,27,0,0,210.06
Dead Space,3990000.0,1940000.0,1590000.0,0.0,480000.0,87.7,8.5,2008-10-13,403,286848960,13775460,71683,291,48027,543,25,109.17000000000002
Dead Space 2,1840000.0,1070000.0,590000.0,0.0,170000.0,88.5,8.5,2011-01-25,586,178166340,6569940,59030,122,23336,335,10,142.87
Dead Space 3,2210000.0,1110000.0,830000.0,0.0,270000.0,77.3,6.3,2013-02-05,735,120428160,7493760,52618,124,24835,226,12,82.64
Dead Space Extraction,470000.0,320000.0,100000.0,10000.0,40000.0,82.0,7.8,2009-09-28,12361,261840,38220,279,7,128,0,0,28.020000000000003
Dead by Daylight,340000.0,190000.0,90000.0,20000.0,50000.0,61.0,6.0,2017-06-20,14,14354165820,678317880,250868,3987,560775,27311,1289,64.13
Dead or Alive,280000.0,90000.0,60000.0,100000.0,20000.0,84.0,8.5,1998-03-31,17483,66420,8040,331,3,44,0,0,17.17
Dead or Alive 5,980000.0,430000.0,230000.0,240000.0,100000.0,75.0,7.8,2015-02-17,10378,464760,47160,2002,4,192,0,0,21.65
Dead or Alive 5 Last Round,450000.0,140000.0,160000.0,100000.0,50000.0,71.5,7.0,2015-02-17,1246,49531080,7581240,29078,81,26545,93,11,30.2
Dead or Alive Xtreme Beach Volleyball,590000.0,360000.0,80000.0,140000.0,20000.0,73.0,7.9,2003-01-22,4773,3918000,129420,15154,7,194,6,0,384.04
Dead or Alive: Dimensions,450000.0,130000.0,220000.0,70000.0,30000.0,79.0,8.1,2011-05-24,24864,1740,300,13,1,3,0,0,5.8
Dead to Rights,1500000.0,780000.0,550000.0,0.0,170000.0,75.0,8.5,2002-11-18,9982,521160,38520,1094,7,128,0,0,77.66
Dead to Rights: Reckoning,130000.0,120000.0,0.0,0.0,10000.0,54.0,7.2,2005-06-28,19809,36420,1140,129,1,2,0,0,31.95
Dead to Rights: Retribution,280000.0,100000.0,120000.0,20000.0,50000.0,60.0,6.0,2010-04-27,11080,373440,3840,2344,1,10,0,0,97.25
Deadfall Adventures,10000.0,0.0,10000.0,0.0,0.0,43.0,7.7,2013-07-01,6865,1519860,184500,3095,15,599,1,0,48.78
Deadliest Catch: Alaskan Storm,50000.0,40000.0,0.0,0.0,0.0,56.0,5.9,2008-06-17,20208,32820,4500,77,1,12,0,0,7.29
Deadliest Warrior: Ancient Combat,40000.0,40000.0,0.0,0.0,0.0,37.0,5.0,2012-04-17,20498,30600,240,223,1,1,0,0,127.5
Deadly Creatures,220000.0,80000.0,120000.0,0.0,20000.0,72.0,8.6,2009-02-09,17262,70620,1500,300,2,6,0,0,47.08
Deadly Premonition,260000.0,180000.0,60000.0,0.0,20000.0,68.0,8.3,2010-02-23,3267,8901300,397860,10082,19,840,15,0,95.65
Deadly Premonition: The Director's Cut,160000.0,80000.0,50000.0,0.0,30000.0,70.0,7.7,2013-04-30,1612,31704540,1077060,26583,47,2533,58,0,146.9
Deadpool,1600000.0,920000.0,460000.0,0.0,220000.0,56.5,6.7,2015-11-18,1630,31056840,3636120,22432,127,18716,56,5,47.93
Deal or No Deal,3010000.0,2360000.0,400000.0,0.0,250000.0,38.0,3.2,2007-07-23,2542,14029860,47760,18180,6,217,25,0,665.81
Death Jr. II: Root of Evil,50000.0,50000.0,0.0,0.0,0.0,68.0,7.3,2006-10-31,19101,43620,1620,117,1,3,0,0,26.93
Death end re;Quest,30000.0,0.0,0.0,30000.0,0.0,71.0,7.8,2019-12-01,3441,8014920,670680,3116,39,898,14,0,23.39
Deception IV: Blood Ties,270000.0,50000.0,50000.0,140000.0,30000.0,68.5,7.8,2014-03-25,10184,491700,13980,1256,2,33,0,0,90.3
Deception IV: The Nightmare Princess,10000.0,0.0,10000.0,0.0,0.0,73.0,8.3,2015-07-14,5017,3485580,201660,15703,15,693,5,0,70.91000000000003
Deep Black,10000.0,0.0,0.0,0.0,0.0,47.0,1.9,1970-01-01,24602,2340,600,35,1,3,0,0,3.9
Deep Labyrinth,70000.0,60000.0,0.0,0.0,0.0,57.0,6.3,2006-08-15,24856,1740,240,11,1,1,0,0,7.25
Def Jam Rapstar,650000.0,530000.0,70000.0,0.0,60000.0,74.5,6.4,2010-10-05,18516,50700,1680,217,2,9,0,0,57.19
Def Jam: Fight for NY,2300000.0,1290000.0,770000.0,0.0,240000.0,83.5,8.6,2004-09-20,2708,12414360,449520,26220,17,1742,22,0,126.1
Defender,510000.0,280000.0,170000.0,0.0,50000.0,69.5,7.8,2002-10-22,19629,37980,2340,358,1,13,0,0,16.23
Defiance,370000.0,190000.0,120000.0,0.0,60000.0,59.0,6.8,2013-04-02,4351,4841160,1628520,4434,34,3734,7,1,11.16
Delta Force: Black Hawk Down,800000.0,470000.0,240000.0,0.0,70000.0,59.5,7.7,2005-07-26,14284,155940,58620,1074,6,166,0,0,7.81
Dementium II,110000.0,90000.0,20000.0,0.0,10000.0,75.0,8.4,2010-05-04,7029,1426620,25200,5583,5,115,2,0,197.72
DemiKids: Light Version,20000.0,20000.0,10000.0,0.0,0.0,62.0,8.4,2003-10-06,17638,63780,2640,100,1,4,0,0,24.16
Demigod,20000.0,0.0,20000.0,0.0,0.0,76.0,7.7,2009-04-14,19956,34920,7740,464,1,22,0,0,4.51
Demon Gaze,170000.0,40000.0,30000.0,90000.0,20000.0,70.0,8.6,2014-04-22,15749,104820,15900,76,4,24,0,0,24.97
Destiny,10840000.0,5390000.0,3640000.0,290000.0,1520000.0,77.7,5.4,2014-09-09,32,7722921960,940339440,393305,12685,700093,21927,2463,37.06
Destiny 2,4300000.0,2010000.0,1490000.0,100000.0,700000.0,84.0,4.4,2017-09-06,19,11372967420,874542360,876536,29525,840027,21638,1662,38.9
Destruction Derby Raw,140000.0,80000.0,50000.0,0.0,10000.0,69.0,7.0,2000-09-26,20638,29520,4020,194,1,9,0,0,7.34
Detective Pikachu,470000.0,150000.0,170000.0,120000.0,30000.0,71.0,7.4,2018-03-23,3598,7342200,173520,2979,25,417,13,0,69.67
Deus Ex,10000.0,0.0,10000.0,0.0,0.0,90.0,9.2,2000-06-26,1002,71900220,1695480,219620,37,3316,135,0,179.94
Deus Ex: Human Revolution,3340000.0,1520000.0,1330000.0,90000.0,420000.0,89.3,8.4,2011-08-23,1434,38378040,3380820,95013,60,10784,71,3,57.2
Deus Ex: Invisible War,330000.0,250000.0,70000.0,0.0,10000.0,84.0,7.6,2003-12-02,2884,11216100,198480,8801,12,406,20,0,260.19
Deus Ex: Mankind Divided,390000.0,250000.0,110000.0,0.0,40000.0,83.0,7.5,2016-08-23,559,188831400,6618900,109341,771,28370,356,12,79.00999999999998
Deus Ex: The Conspiracy,210000.0,100000.0,80000.0,0.0,30000.0,81.0,8.9,2002-03-25,22237,16800,2040,52,1,5,0,0,8.24
Devil Kings,250000.0,30000.0,30000.0,180000.0,10000.0,64.0,7.1,2005-10-12,11682,317220,11940,823,3,33,0,0,84.4
Devil May Cry 4,2920000.0,1370000.0,790000.0,420000.0,330000.0,84.0,8.4,2008-02-05,4075,5575020,587040,13025,23,1915,9,0,39.540000000000006
Devil May Cry HD Collection,250000.0,140000.0,60000.0,20000.0,30000.0,65.5,8.4,2018-03-13,1164,56395200,3826980,30151,129,14299,105,6,94.31
Devil's Third,50000.0,30000.0,20000.0,0.0,0.0,43.0,6.7,2015-12-11,8487,835920,50460,3389,4,140,1,0,50.55
Dewy's Adventure,160000.0,140000.0,0.0,10000.0,10000.0,67.0,6.3,2007-09-25,23639,7020,720,17,1,2,0,0,9.75
DiRT,1940000.0,540000.0,1080000.0,0.0,320000.0,83.3,7.6,2007-09-11,9530,602100,64140,3430,8,326,0,0,26.910000000000004
DiRT 2,2480000.0,780000.0,1300000.0,0.0,400000.0,70.0,6.8,2009-09-08,9985,520800,129720,1483,9,439,0,0,17.810000000000006
DiRT 3,1920000.0,500000.0,1110000.0,20000.0,290000.0,86.7,7.1,2011-05-24,2837,11515980,2756760,7542,176,18913,18,2,21.32
DiRT 4,730000.0,210000.0,410000.0,20000.0,90000.0,83.0,6.7,2017-06-06,2293,16622400,3779820,13728,172,16285,30,6,12.07
DiRT Rally,760000.0,250000.0,410000.0,0.0,100000.0,85.7,8.1,2016-04-05,1097,61525920,13194720,28284,380,45042,114,23,23.61
Die Hard: Vendetta,120000.0,90000.0,20000.0,0.0,0.0,54.0,7.2,2002-11-19,15312,118260,1440,1066,1,10,0,0,82.13
Digimon All-Star Rumble,160000.0,110000.0,30000.0,0.0,30000.0,52.0,5.6,2014-11-11,23130,10500,420,71,1,1,0,0,25.0
Digimon Battle Spirit 2,150000.0,110000.0,40000.0,0.0,0.0,63.0,6.8,2003-09-24,14932,130920,1320,1969,1,9,0,0,99.18
Digimon Digital Card Battle,110000.0,60000.0,40000.0,0.0,10000.0,51.0,8.8,2001-06-28,9545,598320,121320,376,13,205,0,0,15.32
Digimon Rumble Arena,20000.0,10000.0,10000.0,0.0,0.0,64.0,8.8,2002-02-24,12599,245340,45720,310,7,166,0,0,17.599999999999994
Digimon Rumble Arena 2,150000.0,90000.0,50000.0,0.0,10000.0,66.3,8.1,2004-09-03,11418,340620,36300,1607,7,211,0,0,39.15
Digimon World 2,580000.0,230000.0,160000.0,160000.0,40000.0,42.0,7.8,2001-05-19,2553,13917120,355680,5927,12,387,24,0,116.37
Digimon World 4,270000.0,170000.0,90000.0,0.0,20000.0,52.3,7.2,2005-06-02,7230,1314540,183540,3032,8,329,1,0,28.71
Digimon World DS,100000.0,90000.0,0.0,0.0,10000.0,71.0,7.8,2006-11-07,10093,503520,53760,2814,8,140,0,0,32.82
Digimon World: Next Order,240000.0,130000.0,50000.0,20000.0,40000.0,68.0,6.6,2017-01-31,1783,26749740,3219060,3685,129,5743,49,5,39.43
Dino Crisis 3,140000.0,80000.0,30000.0,30000.0,0.0,51.0,3.5,2003-09-16,9728,564960,20460,2345,4,40,0,0,127.91
Dinotopia: The Timestone Pirates,190000.0,140000.0,50000.0,0.0,0.0,64.0,8.4,2002-04-30,25493,720,60,12,1,1,0,0,12.0
Dirge of Cerberus: Final Fantasy VII,970000.0,460000.0,0.0,510000.0,0.0,57.0,8.3,2006-08-15,5188,3186960,224400,2952,10,398,4,0,59.25
Disaster Report,210000.0,30000.0,20000.0,150000.0,10000.0,66.0,8.3,2003-02-15,4798,3878040,57240,7336,8,145,5,0,294.94000000000005
Disciples III: Renaissance,20000.0,0.0,10000.0,0.0,0.0,56.0,5.3,2010-07-13,18779,47460,22740,53,4,31,0,0,4.7
