Game,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date,Unnamed: 0,Watch_time,Stream_time,Peak_viewers,Peak_channels,Streamers,Average_viewers,Average_channels,Average_viewer_ratio
Spore Galactic Adventures,10000.0,0.0,10000.0,0.0,0.0,70.0,7.2,2009-06-23,5457,2811000,269520,5398,12,1169,4,0,40.11
Sports Champions,3880000.0,2150000.0,1130000.0,100000.0,500000.0,76.0,7.9,2010-09-17,14666,140520,13020,1297,4,35,0,0,36.8
Sports Party,170000.0,60000.0,100000.0,0.0,10000.0,57.0,5.0,2018-10-30,10568,436260,23040,2844,6,72,0,0,97.27
Spy Fiction,40000.0,20000.0,20000.0,0.0,10000.0,61.0,7.8,2004-08-31,14980,129180,13980,401,3,25,0,0,40.21
Spy vs Spy,110000.0,80000.0,20000.0,0.0,0.0,53.0,8.1,2005-04-06,10260,478980,5580,7417,3,24,0,0,170.31
Spyro 2: Season of Flame,1580000.0,850000.0,650000.0,0.0,80000.0,76.0,7.1,2002-09-25,11805,305640,19800,530,4,52,0,0,56.47
Spyro Orange: The Cortex Conspiracy,570000.0,410000.0,150000.0,0.0,10000.0,60.0,6.1,2004-06-03,12744,236760,14880,709,5,32,0,0,60.75
Spyro Reignited Trilogy,2820000.0,1110000.0,1310000.0,0.0,410000.0,82.5,7.6,2018-11-13,514,209316480,18163740,192804,1584,46105,397,34,23.15
Spyro: A Hero's Tail,1070000.0,650000.0,340000.0,0.0,100000.0,62.0,7.4,2004-11-03,7502,1178880,159420,923,10,403,0,0,30.62
Spyro: Attack of the Rhynocs,300000.0,220000.0,80000.0,0.0,10000.0,72.0,7.1,2003-10-27,14319,154620,7800,245,3,24,0,0,43.43
Spyro: Enter the Dragonfly,2680000.0,1290000.0,1090000.0,0.0,300000.0,52.0,4.8,2002-11-03,4674,4081020,164820,16756,16,558,6,0,116.05
Spyro: Season of Ice,2230000.0,1290000.0,830000.0,0.0,110000.0,74.0,7.3,2001-10-29,11178,364680,28800,598,6,91,0,0,52.17
Spyro: Shadow Legacy,160000.0,140000.0,10000.0,0.0,10000.0,50.0,5.3,2005-10-18,16719,81000,3540,180,2,10,0,0,45.16
Spyro: Year of the Dragon,3710000.0,1930000.0,1580000.0,0.0,190000.0,91.0,8.9,2000-10-23,1031,68587980,2189040,467371,56,3313,129,1,153.28
Star Ocean: First Departure,650000.0,200000.0,140000.0,220000.0,90000.0,74.0,7.6,2008-10-21,6092,2093100,276300,2305,23,466,2,0,27.33
Star Ocean: The Last Hope,790000.0,320000.0,200000.0,210000.0,60000.0,72.0,7.3,2009-02-24,3192,9288180,1110900,18435,38,1325,16,0,35.0
Star Trek: Shattered Universe,100000.0,50000.0,40000.0,0.0,10000.0,42.0,8.3,2004-01-13,22338,15960,1200,126,1,4,0,0,13.3
Star Wars Battlefront,5360000.0,3170000.0,1670000.0,30000.0,510000.0,81.0,8.6,2004-09-20,320,412762680,76925940,103318,1123,68719,1696,253,27.12
Star Wars Battlefront II,6480000.0,4450000.0,1470000.0,40000.0,530000.0,78.7,8.8,2005-11-01,207,740350320,38449020,168330,1331,148617,1407,71,59.19000000000001
Star Wars The Clone Wars: Republic Heroes,2720000.0,1400000.0,950000.0,0.0,370000.0,51.6,5.7,2009-10-06,20163,33120,8100,127,2,31,0,0,4.09
Star Wars Trilogy: Apprentice of the Force,420000.0,300000.0,110000.0,0.0,10000.0,60.0,6.3,2004-09-21,18492,51000,1980,373,1,6,0,0,25.76
Star Wars: Bounty Hunter,1350000.0,730000.0,470000.0,0.0,150000.0,66.0,8.0,2002-11-22,10052,510180,88200,715,10,1708,0,0,26.260000000000005
Star Wars: Dark Forces,1950000.0,1090000.0,770000.0,0.0,90000.0,83.0,7.5,1995-02-28,2943,10736040,306600,111914,17,939,17,0,146.87
Star Wars: Demolition,460000.0,250000.0,170000.0,0.0,30000.0,63.0,7.2,2000-11-12,17720,62220,1920,268,2,13,0,0,52.28
Star Wars: Flight of the Falcon,350000.0,250000.0,90000.0,0.0,10000.0,39.0,5.9,2003-11-18,18201,54960,60,939,1,1,0,0,916.0
Star Wars: Knights of the Old Republic,140000.0,10000.0,110000.0,0.0,20000.0,93.0,9.0,2003-11-18,952,78445740,4964880,218447,110,13540,146,7,87.13000000000002
Star Wars: Lethal Alliance,130000.0,110000.0,10000.0,0.0,10000.0,61.0,6.7,2006-12-07,24841,1800,420,9,1,1,0,0,4.29
Star Wars: Obi-Wan,700000.0,520000.0,160000.0,0.0,20000.0,58.0,5.6,2001-12-19,17159,72420,4740,375,2,18,0,0,28.85
Star Wars: Republic Commando,720000.0,480000.0,220000.0,0.0,20000.0,78.0,8.6,2005-02-28,3750,6654540,811020,12390,48,4696,10,0,30.22
Star Wars: Super Bombad Racing,160000.0,80000.0,60000.0,0.0,20000.0,71.0,5.3,2001-04-23,14176,161520,2040,1302,2,13,0,0,164.78
Star Wars: The Force Unleashed,10070000.0,5280000.0,2900000.0,10000.0,1880000.0,69.0,7.0,2008-09-16,2500,14435760,2107620,19003,149,10323,24,1,33.47
