name,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date
Shark Tale,1730000.0,1090000.0,530000.0,0.0,120000.0,67.0,6.1,2004-09-27
Shaun Palmer's Pro Snowboarder,730000.0,360000.0,280000.0,0.0,90000.0,64.0,8.6,2001-11-13
Shaun White Skateboarding,540000.0,350000.0,130000.0,0.0,50000.0,60.3,6.0,2010-10-24
Shaun White Snowboarding,1810000.0,1050000.0,530000.0,10000.0,210000.0,64.3,7.1,2008-11-16
Shaun White Snowboarding: Road Trip,1660000.0,930000.0,560000.0,0.0,160000.0,78.0,8.7,2008-11-16
ShellShock 2: Blood Trails,90000.0,50000.0,30000.0,0.0,10000.0,30.0,5.8,2009-02-24
ShellShock: Nam '67,220000.0,160000.0,50000.0,0.0,10000.0,58.0,7.0,2004-09-14
Shellshock: Nam 67,620000.0,300000.0,240000.0,0.0,80000.0,58.0,8.2,2004-09-14
Shenmue II,470000.0,220000.0,80000.0,150000.0,10000.0,84.0,9.1,2002-10-28
Sherlock Holmes vs. Jack the Ripper,170000.0,110000.0,50000.0,0.0,10000.0,67.5,7.2,2010-04-20
Sherlock Holmes: The Devil's Daughter,120000.0,100000.0,0.0,0.0,20000.0,68.5,7.2,2016-10-25
Sherlock Holmes: The Mystery of the Mummy,400000.0,60000.0,300000.0,0.0,40000.0,57.0,3.1,2009-07-14
Shifters,50000.0,30000.0,20000.0,0.0,10000.0,37.0,5.9,2002-06-17
Shifting World,30000.0,0.0,0.0,30000.0,0.0,55.0,6.7,2012-04-25
Shin Megami Tensei IV,590000.0,280000.0,0.0,270000.0,30000.0,83.0,6.3,2013-07-16
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,130000.0,70000.0,50000.0,0.0,20000.0,79.0,2.8,2009-05-12
Shin Megami Tensei: Devil Survivor 2,310000.0,160000.0,20000.0,120000.0,10000.0,79.0,3.4,2012-02-28
Shin Megami Tensei: Devil Survivor 2 Record Breaker,130000.0,0.0,20000.0,100000.0,0.0,84.0,4.1,2015-05-05
