,game,Watch_time,Stream_time,Peak_viewers,Peak_channels,Streamers,Average_viewers,Average_channels,Average_viewer_ratio,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date
1331,black,1367340,148140,2310,14,934,1,0,25.57,1670000.0,1320000.0,130000.0,30000.0,170000.0,78.0,8.2,2006-02-28
1332,el shaddai: ascension of the metatron,1360680,27660,2012,4,75,2,0,189.93,440000.0,180000.0,120000.0,110000.0,40000.0,76.5,7.3,2011-08-16
1333,rise of nations: rise of legends,1351140,31080,6084,5,106,2,0,108.61,30000.0,0.0,30000.0,0.0,10000.0,84.0,8.5,2006-05-09
1334,lost planet 3,1345800,244920,1458,23,814,1,0,23.31,330000.0,140000.0,90000.0,70000.0,40000.0,59.5,5.8,2013-08-27
1335,supreme commander,1342740,167340,3951,8,423,1,0,22.12,130000.0,70000.0,50000.0,0.0,20000.0,71.0,7.4,2008-06-23
1336,crash tag team racing,1340460,117180,6924,11,459,1,0,41.05,1080000.0,640000.0,330000.0,0.0,100000.0,67.2,7.6,2005-10-19
1337,grabbed by the ghoulies,1339680,71280,1901,13,249,1,0,85.72999999999998,140000.0,110000.0,30000.0,0.0,10000.0,66.0,7.5,2003-10-21
1338,etrian odyssey iii: the drowned city,1336440,127260,3871,10,129,1,0,42.81,310000.0,120000.0,0.0,190000.0,10000.0,77.0,8.3,2010-09-21
1339,the walking dead: survival instinct,1335000,100800,2990,10,436,2,0,48.18,1300000.0,820000.0,310000.0,0.0,160000.0,42.0,4.1,2013-03-19
1340,ufc 2009 undisputed,1319700,21540,9913,9,122,2,0,276.98,3830000.0,2550000.0,840000.0,10000.0,430000.0,83.5,8.0,2009-05-19
1341,conception ii: children of the seven stars,1318080,175560,1882,17,397,1,0,29.79,300000.0,200000.0,0.0,70000.0,50000.0,62.0,7.4,2014-04-15
1342,the urbz: sims in the city,1314660,89160,1579,7,250,1,0,64.83,3120000.0,1350000.0,1420000.0,0.0,350000.0,71.2,7.9,2004-11-09
1343,digimon world 4,1314540,183540,3032,8,329,1,0,28.71,270000.0,170000.0,90000.0,0.0,20000.0,52.3,7.2,2005-06-02
1344,homefront,1308540,371340,29336,30,1518,1,0,20.21,1700000.0,940000.0,580000.0,20000.0,150000.0,70.0,5.8,2011-03-15
1345,locoroco,1305420,66360,3058,12,401,2,0,68.66,390000.0,140000.0,50000.0,160000.0,30000.0,83.0,8.7,2006-09-05
1346,halo: combat evolved anniversary,1294200,306900,1208,12,1249,0,0,17.38,2410000.0,1440000.0,710000.0,40000.0,220000.0,82.0,8.2,2011-11-15
1347,puppeteer,1290840,57240,1801,8,135,1,0,93.59,270000.0,110000.0,90000.0,20000.0,40000.0,80.0,8.4,2013-09-10
1348,gray matter,1287000,67560,1643,8,124,1,0,74.10000000000002,80000.0,20000.0,50000.0,0.0,10000.0,72.0,7.6,2011-02-22
1349,call of juarez: bound in blood,1279980,154080,1966,9,482,0,0,34.2,910000.0,350000.0,410000.0,10000.0,150000.0,78.0,7.8,2009-06-30
1350,myst iii: exile,1279440,114540,968,9,249,1,0,42.86000000000001,280000.0,140000.0,110000.0,0.0,40000.0,57.0,7.0,2002-09-22
1351,samurai warriors: spirit of sanada,1277820,213840,336,16,378,2,0,12.919999999999998,70000.0,20000.0,0.0,50000.0,10000.0,74.0,6.9,2017-05-23
1352,toukiden kiwami,1274880,359640,730,16,2024,1,0,12.23,190000.0,60000.0,70000.0,30000.0,30000.0,74.0,7.4,2015-04-28
1353,snk 40th anniversary collection,1262220,37140,4063,7,165,2,0,57.97,30000.0,20000.0,0.0,0.0,0.0,78.0,7.9,2018-11-13
1354,nights of azure,1256880,359220,743,12,834,1,0,10.8,90000.0,40000.0,40000.0,0.0,20000.0,67.0,7.2,2016-03-29
1355,resident evil: deadly silence,1252140,42720,3100,5,100,2,0,123.82,260000.0,110000.0,20000.0,110000.0,10000.0,71.0,8.3,2006-02-07
1356,patapon 3,1251660,103740,3345,9,334,1,0,49.34,280000.0,50000.0,40000.0,170000.0,20000.0,74.0,7.4,2011-04-12
1357,crash nitro kart,1251540,125640,4550,10,477,0,0,43.4,2980000.0,1510000.0,1250000.0,0.0,230000.0,70.5,8.0,2003-11-13
1358,sniper: ghost warrior 2,1250340,399900,701,18,2448,0,0,12.91,540000.0,110000.0,320000.0,30000.0,60000.0,52.0,5.9,2013-03-12
1359,the seven deadly sins: knights of britannia,1248000,121140,1923,15,1260,1,0,20.62,100000.0,50000.0,20000.0,20000.0,10000.0,55.0,6.2,2018-02-09
1360,mysims,1246620,71340,4821,7,255,1,0,57.35000000000001,5340000.0,2480000.0,2160000.0,120000.0,570000.0,68.3,6.8,2007-09-18
1361,dungeons,1239180,53520,4099,7,189,1,0,79.24,90000.0,70000.0,20000.0,0.0,10000.0,65.0,4.6,2011-02-10
1362,you don't know jack,1236660,121620,7858,12,684,0,0,41.27,600000.0,540000.0,0.0,0.0,60000.0,81.7,7.9,2011-02-08
1363,nhl 15,1234320,227280,3148,13,2290,2,0,16.71,870000.0,670000.0,110000.0,0.0,90000.0,58.0,3.0,2014-09-09
1364,the sly collection,1231560,135240,1335,10,234,1,0,34.08,690000.0,520000.0,80000.0,10000.0,80000.0,85.0,8.8,2010-11-09
1365,akiba's beat,1230720,334020,536,24,652,0,0,24.4,110000.0,70000.0,0.0,10000.0,20000.0,55.0,6.4,2017-05-16
1366,disney's 102 dalmatians: puppies to the rescue,1225560,112860,8193,10,169,1,0,38.29,620000.0,340000.0,230000.0,0.0,40000.0,71.0,7.7,2000-11-08
1367,need for speed: most wanted 5-1-0,1219980,94500,2886,9,420,1,0,93.54,2090000.0,1770000.0,130000.0,20000.0,170000.0,72.0,7.6,2005-11-15
1368,rune factory: tides of destiny,1215540,122400,433,9,140,1,0,34.13,420000.0,270000.0,0.0,130000.0,30000.0,61.0,7.8,2011-10-11
1369,chaos wars,1210260,11820,1117,2,18,2,0,121.43,40000.0,0.0,0.0,40000.0,0.0,64.0,6.7,2008-06-03
1370,dragon quest heroes: rocket slime,1205340,61680,1804,8,135,1,0,93.75,440000.0,130000.0,0.0,310000.0,10000.0,83.0,7.7,2006-09-19
1371,omen of sorrow,1197720,30600,7804,9,156,1,0,797.6700000000002,40000.0,30000.0,0.0,0.0,10000.0,64.0,4.9,2018-11-16
1372,rumble roses xx,1194180,37800,9671,9,103,0,0,186.83,130000.0,70000.0,10000.0,40000.0,10000.0,62.0,6.5,2006-03-28
1373,fishing resort,1193520,3780,11136,3,9,2,0,346.62,390000.0,140000.0,0.0,250000.0,10000.0,69.0,6.9,2011-11-22
1374,max: the curse of brotherhood,1191300,192120,1215,9,746,0,0,18.7,10000.0,10000.0,0.0,0.0,0.0,73.0,6.9,2018-04-24
1375,icarly,1190880,5700,18133,4,30,2,0,812.59,450000.0,420000.0,0.0,0.0,30000.0,70.0,8.4,2009-10-27
1376,the incredible hulk: ultimate destruction,1189200,17400,8355,4,60,2,0,339.03,920000.0,540000.0,280000.0,0.0,80000.0,83.7,8.2,2005-08-23
1377,ncaa football 07,1186560,1680,12412,2,8,2,0,907.64,2800000.0,2420000.0,50000.0,0.0,320000.0,80.3,7.9,2006-07-18
1378,spyro: a hero's tail,1178880,159420,923,10,403,0,0,30.62,1070000.0,650000.0,340000.0,0.0,100000.0,62.0,7.4,2004-11-03
1379,hogs of war,1177140,146460,3293,10,363,1,0,37.1,20000.0,10000.0,10000.0,0.0,0.0,62.0,8.5,2000-08-05
1380,golden sun: dark dawn,1173240,86520,1286,8,124,0,0,52.13,810000.0,530000.0,100000.0,130000.0,50000.0,79.0,8.2,2010-11-29
1381,sega classics collection,1172160,82980,3600,7,417,1,0,40.18,430000.0,210000.0,160000.0,0.0,50000.0,46.0,6.8,2005-03-22
1382,castlevania: the dracula x chronicles,1171020,97980,5944,8,347,1,0,47.27,420000.0,220000.0,90000.0,40000.0,70000.0,80.0,8.1,2007-10-23
1383,fire emblem: shadow dragon,1164240,252060,1293,13,471,0,0,18.64,610000.0,290000.0,30000.0,270000.0,30000.0,81.0,7.0,2009-02-16
1384,kameo: elements of power,1164000,100500,3077,7,395,1,0,31.56,340000.0,280000.0,30000.0,0.0,30000.0,79.0,8.0,2005-11-07
1385,divinity ii: the dragon knight saga,1162440,133680,1186,9,231,0,0,38.1,130000.0,110000.0,20000.0,0.0,10000.0,72.0,7.8,2011-04-12
1386,king's bounty: armored princess,1159140,135720,541,9,172,0,0,32.49,10000.0,0.0,10000.0,0.0,0.0,82.0,8.6,2009-11-20
1387,persona 2: eternal punishment,1157940,149040,532,9,158,0,0,32.97,350000.0,30000.0,20000.0,280000.0,20000.0,83.0,4.1,2000-12-22
1388,my japanese coach,1156860,1200,9724,1,7,2,0,964.05,270000.0,240000.0,0.0,0.0,20000.0,59.0,6.7,2008-10-15
1389,bloodrayne 2,1155960,105300,4783,9,332,0,0,44.41,420000.0,240000.0,130000.0,0.0,40000.0,70.5,8.2,2004-10-12
1390,the simpsons: road rage,1154940,48660,10126,8,220,1,0,85.0,6090000.0,3850000.0,1800000.0,0.0,460000.0,61.8,7.6,2001-11-24
1391,lego star wars iii: the clone wars,1149180,217560,2701,10,931,1,0,14.05,6940000.0,3700000.0,2550000.0,0.0,680000.0,72.7,7.3,2011-03-22
1392,the settlers,1146060,47700,4690,7,130,1,0,76.84,110000.0,100000.0,0.0,0.0,10000.0,39.0,5.9,2007-08-21
1393,nba 2k13,1141800,45780,2705,7,215,1,0,65.09,180000.0,80000.0,60000.0,0.0,10000.0,80.0,7.1,2012-11-18
1394,timesplitters: future perfect,1141020,221580,847,13,690,0,0,20.94,480000.0,300000.0,140000.0,0.0,40000.0,83.0,8.7,2005-03-21
1395,socom ii: u.s. navy seals,1138440,286200,412,17,244,1,0,16.03,2940000.0,2220000.0,510000.0,60000.0,150000.0,87.0,8.8,2003-11-04
1396,astro boy: omega factor,1135740,37740,6178,10,110,1,0,118.05,90000.0,60000.0,20000.0,0.0,0.0,85.0,8.7,2004-08-18
1397,shin megami tensei: persona,1135740,204060,695,11,358,1,0,22.65,220000.0,80000.0,0.0,130000.0,10000.0,78.0,3.8,2009-09-22
1398,lost horizon,1135140,41280,5483,7,66,1,0,128.41,110000.0,0.0,100000.0,0.0,20000.0,77.0,7.6,2010-08-20
1399,pro evolution soccer 2013,1134060,127920,4831,9,598,0,0,41.01,1880000.0,230000.0,770000.0,650000.0,220000.0,81.0,6.8,2012-09-25
1400,rayman 3,1127340,41400,3236,11,191,1,0,109.56,140000.0,100000.0,40000.0,0.0,0.0,83.0,7.4,2003-03-02
1401,mini ninjas,1121040,198060,949,13,861,0,0,21.73,1360000.0,580000.0,630000.0,0.0,170000.0,72.0,8.0,2009-09-08
1402,folklore,1114080,150120,1355,8,141,0,0,42.23,320000.0,200000.0,40000.0,50000.0,30000.0,75.0,8.2,2007-10-09
1403,g-force,1107720,46380,3716,4,159,0,0,101.25,830000.0,430000.0,310000.0,0.0,100000.0,68.3,7.9,2009-07-21
1404,blades of time,1107540,125580,6036,7,387,1,0,27.98,200000.0,110000.0,50000.0,10000.0,20000.0,52.5,6.9,2012-03-06
1405,conan,1104540,118380,4539,12,430,1,0,55.96,530000.0,290000.0,170000.0,0.0,60000.0,69.0,7.2,2007-10-23
1406,skies of arcadia,1100520,201660,2949,11,282,0,0,22.64,90000.0,0.0,0.0,90000.0,0.0,93.0,8.9,2000-11-13
1407,klonoa,1098960,57420,10203,7,184,1,0,70.34,160000.0,100000.0,20000.0,30000.0,10000.0,77.0,8.4,2009-05-05
1408,trauma team,1095360,72840,1133,9,108,1,0,62.83000000000001,170000.0,140000.0,0.0,20000.0,10000.0,82.0,8.2,2010-05-18
1409,okage: shadow king,1091640,248820,499,16,651,1,0,16.55,360000.0,140000.0,110000.0,80000.0,40000.0,70.0,8.0,2001-10-01
1410,panzer dragoon orta,1089600,55560,6360,9,227,1,0,44.4,260000.0,160000.0,50000.0,40000.0,10000.0,90.0,8.6,2003-01-12
1411,legend of kay,1089300,22380,9888,9,59,0,0,212.02,50000.0,30000.0,20000.0,0.0,10000.0,72.0,7.6,2005-09-21
1412,the settlers 7: paths to a kingdom,1087860,149460,886,9,404,1,0,21.6,310000.0,0.0,270000.0,0.0,40000.0,79.0,5.2,2010-03-23
1413,incredible crisis,1087620,31200,2763,6,177,1,0,110.62,80000.0,40000.0,30000.0,0.0,10000.0,80.0,8.0,2000-11-06
1414,jojo's bizarre adventure: all star battle,1083240,123000,2541,8,388,0,0,39.02,580000.0,50000.0,20000.0,500000.0,10000.0,71.0,8.1,2014-04-29
1415,disney's donald duck: goin' quackers,1083180,80160,3080,9,239,1,0,58.46,270000.0,150000.0,100000.0,0.0,20000.0,66.3,6.1,2002-03-25
1416,fate/extra,1077840,229320,671,14,353,0,0,19.98,330000.0,190000.0,10000.0,100000.0,30000.0,58.0,8.0,2011-11-01
1417,simcity 2000,1077180,86280,1465,8,323,0,0,53.6,110000.0,80000.0,30000.0,0.0,0.0,62.0,7.8,2003-11-13
1418,motogp,1075800,91920,4712,23,225,1,0,80.49,480000.0,140000.0,160000.0,140000.0,40000.0,63.3,6.1,2000-10-31
1419,call of duty 3,1073820,145140,1779,8,476,1,0,19.54,5280000.0,2980000.0,1580000.0,50000.0,680000.0,81.3,7.0,2006-11-07
1420,onechanbara z2: chaos,1066800,195000,2320,8,807,1,0,16.26,280000.0,160000.0,30000.0,50000.0,40000.0,57.0,6.8,2015-07-21
1421,crazy taxi 3: high roller,1065240,6720,8921,3,38,2,0,286.94,200000.0,140000.0,40000.0,20000.0,10000.0,69.0,8.6,2002-07-24
1422,bubsy: the woolies strike back,1065000,59160,2890,18,391,1,0,48.83,50000.0,40000.0,0.0,0.0,10000.0,45.0,5.8,2017-10-31
1423,romance of the three kingdoms viii,1064760,41280,1786,8,53,0,0,82.09,300000.0,50000.0,40000.0,190000.0,10000.0,77.0,8.4,2003-08-13
1424,midnight club ii,1060800,219180,777,10,403,1,0,13.06,2280000.0,1670000.0,350000.0,0.0,260000.0,85.5,8.0,2003-04-09
1425,bujingai: the forsaken city,1059480,14880,7043,3,47,1,0,133.55,100000.0,50000.0,40000.0,0.0,10000.0,72.0,7.8,2004-07-25
1426,lego indiana jones: the original adventures,1057440,231780,2029,12,669,0,0,18.49,11930000.0,6770000.0,3180000.0,0.0,2020000.0,77.6,7.8,2008-06-03
1427,harry potter: quidditch world cup,1057320,56820,4967,11,269,1,0,64.08,1690000.0,1030000.0,520000.0,0.0,130000.0,63.0,7.9,2003-10-28
1428,zone of the enders hd collection,1056900,79440,1650,7,206,1,0,34.86000000000001,600000.0,360000.0,70000.0,100000.0,70000.0,74.0,8.0,2012-10-30
1429,final fight: streetwise,1054200,10260,6845,4,44,1,0,403.28,70000.0,40000.0,20000.0,0.0,10000.0,42.5,6.4,2006-02-28
1430,forza motorsport 4,1052820,107400,2414,9,272,0,0,39.12000000000001,4600000.0,2080000.0,1980000.0,60000.0,490000.0,91.0,8.2,2011-10-11
1431,dragon ball: raging blast 2,1051440,41400,5279,7,128,1,0,115.25,1470000.0,920000.0,280000.0,120000.0,150000.0,58.5,7.7,2010-11-02
1432,the sims: makin' magic,1041780,43980,1998,6,169,1,0,68.43,1920000.0,1030000.0,800000.0,0.0,90000.0,80.0,7.9,2003-10-28
1433,disney's tarzan untamed,1041240,6840,6886,4,24,1,0,315.7,590000.0,340000.0,200000.0,0.0,50000.0,60.0,7.2,2001-11-14
1434,phantom dust,1040040,171300,870,27,516,1,0,14.36,110000.0,80000.0,20000.0,0.0,0.0,81.0,7.6,2005-03-15
1435,dance dance revolution extreme,1032840,102120,973,7,200,1,0,27.26,2130000.0,1040000.0,810000.0,0.0,270000.0,77.0,8.5,2004-09-21
1436,super dungeon bros,1023300,144420,1718,29,981,1,0,17.35,30000.0,20000.0,0.0,0.0,10000.0,43.0,1.9,2016-11-01
1437,psi-ops: the mindgate conspiracy,1019880,31860,10433,7,116,0,0,140.9,460000.0,270000.0,150000.0,0.0,50000.0,84.0,8.2,2004-06-14
1438,just cause,1013820,161340,1685,12,554,1,0,29.55,180000.0,110000.0,50000.0,10000.0,10000.0,71.7,7.3,2006-09-27
1439,looney tunes: sheep raider,1011720,99780,1129,10,292,0,0,44.35,120000.0,70000.0,50000.0,0.0,10000.0,72.0,8.5,2001-09-27
1440,mario tennis: power tour,1008540,55620,7527,7,152,0,0,53.49,520000.0,240000.0,90000.0,190000.0,10000.0,81.0,8.3,2005-12-05
1441,wild arms 5,1007760,102840,495,7,83,0,0,37.95,280000.0,140000.0,110000.0,0.0,40000.0,71.0,7.6,2007-08-28
1442,forza motorsport 5,1007340,885600,1000,37,5405,1,1,3.3800000000000003,2400000.0,1280000.0,900000.0,10000.0,210000.0,79.0,6.0,2013-11-22
1443,hunted: the demon's forge,1006500,111720,4089,9,352,1,0,49.76000000000001,220000.0,130000.0,70000.0,0.0,20000.0,61.0,6.3,2011-05-31
1444,nfl street,1003680,33000,13576,7,139,1,0,97.23,2430000.0,1910000.0,300000.0,0.0,220000.0,80.7,8.6,2004-01-13
1445,gungrave vr,998580,2100,16325,1,17,1,0,475.51,10000.0,10000.0,0.0,0.0,0.0,41.0,4.1,2018-12-11
1446,gauntlet: dark legacy,998340,251820,1536,11,745,0,0,16.669999999999998,1500000.0,830000.0,520000.0,0.0,160000.0,62.3,8.3,2001-05-01
1447,ssx,997080,214980,3749,10,1006,0,0,14.55,1630000.0,730000.0,680000.0,20000.0,190000.0,81.5,6.6,2012-02-28
1448,dynasty warriors,996120,33060,13304,3,21,1,0,321.22,510000.0,180000.0,0.0,300000.0,20000.0,62.0,7.3,2005-03-17
1449,hannah montana: music jam,995100,960,8457,1,3,1,0,1036.56,1560000.0,1050000.0,360000.0,0.0,150000.0,61.0,5.0,2007-10-16
1450,ridge racer,993000,29820,5955,5,143,1,0,92.22,180000.0,30000.0,80000.0,50000.0,20000.0,44.0,3.9,2012-03-13
1451,capcom fighting evolution,988320,1320,7425,1,9,1,0,748.73,240000.0,130000.0,90000.0,0.0,30000.0,59.0,6.2,2004-11-16
1452,tom clancy's splinter cell: pandora tomorrow,985800,146280,2446,8,345,0,0,26.62,2870000.0,1450000.0,1190000.0,0.0,240000.0,81.5,7.7,2004-07-20
1453,skylanders imaginators,979920,405660,1740,28,1484,1,0,8.24,1950000.0,880000.0,830000.0,0.0,220000.0,70.3,5.8,2016-10-16
1454,superdimension neptune vs sega hard girls,975720,123300,1219,8,217,1,0,24.37,30000.0,0.0,30000.0,0.0,10000.0,72.0,8.1,2016-10-18
1455,way of the samurai 2,973320,5940,1243,1,17,1,0,163.86,330000.0,50000.0,40000.0,230000.0,10000.0,59.0,8.8,2004-07-07
1456,sid meier's civilization revolution,973140,251940,3361,16,862,0,0,13.0,2060000.0,1440000.0,390000.0,30000.0,190000.0,83.0,7.9,2008-07-08
1457,virtua fighter 4: evolution,971760,6480,7558,2,27,1,0,363.01,710000.0,350000.0,270000.0,0.0,90000.0,93.0,8.6,2003-08-13
1458,virtua tennis 3,971760,5340,8162,3,32,1,0,351.42,1090000.0,260000.0,590000.0,30000.0,210000.0,80.0,7.4,2007-03-20
1459,madden nfl 2005,968040,9780,3159,4,28,1,0,142.4,4790000.0,4420000.0,260000.0,10000.0,100000.0,79.5,7.8,2004-08-09
1460,wwe wrestlemania xix,967620,12480,4585,6,85,1,0,262.67,330000.0,260000.0,70000.0,0.0,10000.0,76.0,8.7,2003-09-08
1461,flipping death,966840,63480,2131,10,307,1,0,114.74,30000.0,30000.0,0.0,0.0,0.0,79.5,6.6,2018-10-16
1462,atelier totori: the adventurer of arland,964680,172080,260,10,153,1,0,18.87,430000.0,120000.0,70000.0,210000.0,30000.0,74.0,8.1,2011-09-27
1463,syphon filter 3,960900,32580,9139,4,81,1,0,69.44,520000.0,290000.0,200000.0,0.0,30000.0,73.0,8.6,2001-11-05
1464,dragon ball: advanced adventure,957600,96840,3236,15,284,0,0,38.89,40000.0,30000.0,10000.0,0.0,0.0,75.0,8.4,2006-06-06
1465,baldur's gate: dark alliance,956820,146880,753,8,387,0,0,19.7,1470000.0,780000.0,530000.0,0.0,170000.0,82.0,8.1,2001-12-02
1466,ephemeral fantasia,955740,30540,565,4,28,1,0,85.52000000000002,80000.0,40000.0,30000.0,0.0,10000.0,48.0,7.3,2001-07-09
1467,chaos legion,953520,77760,6990,8,186,1,0,52.56999999999999,300000.0,150000.0,120000.0,0.0,40000.0,65.0,8.0,2003-08-06
1468,gravel,952740,154140,1237,15,571,1,0,10.07,50000.0,40000.0,0.0,0.0,0.0,67.0,7.0,2018-02-27
1469,sword of mana,949020,120840,2872,8,198,1,0,33.12,740000.0,310000.0,110000.0,300000.0,20000.0,72.0,8.4,2003-12-01
1470,forgotten realms: demon stone,947700,8040,2855,2,37,1,0,178.14,290000.0,160000.0,100000.0,0.0,30000.0,71.5,6.8,2004-09-14
1471,nfl blitz 20-02,942300,3180,8005,3,16,1,0,337.35,370000.0,210000.0,130000.0,0.0,40000.0,76.5,8.2,2002-02-06
1472,pac-man fever,940260,7620,7838,6,35,1,0,430.21,790000.0,460000.0,260000.0,0.0,80000.0,50.5,6.0,2002-09-02
1473,let's tap,939240,4500,15511,8,24,1,0,816.37,170000.0,80000.0,60000.0,10000.0,20000.0,70.0,6.6,2009-06-16
1474,still life,929760,75180,2112,8,178,0,0,44.66,70000.0,50000.0,20000.0,0.0,0.0,70.0,7.0,2005-06-06
1475,soldier of fortune: payback,929040,3780,3107,2,18,1,0,570.94,150000.0,120000.0,20000.0,0.0,20000.0,50.0,5.3,2007-11-14
1476,warioware d.i.y.,929040,4080,6363,3,17,1,0,1350.41,590000.0,170000.0,180000.0,200000.0,40000.0,82.0,8.2,2010-03-28
1477,earth defense force: insect armageddon,928500,81420,4433,11,338,0,0,47.61,390000.0,160000.0,80000.0,110000.0,30000.0,65.5,7.8,2011-07-05
1478,texas hold 'em poker,925980,496920,1568,12,782,0,0,10.18,610000.0,440000.0,160000.0,0.0,10000.0,49.0,7.8,2004-11-01
1479,godzilla: destroy all monsters melee,920340,12000,6819,3,82,1,0,218.34,830000.0,640000.0,170000.0,0.0,20000.0,72.0,7.1,2002-10-08
1480,rogue warrior,919320,49260,3435,8,265,1,0,72.4,110000.0,90000.0,10000.0,0.0,10000.0,28.0,2.9,2009-12-01
1481,spongebob squarepants: plankton's robotic revenge,919140,5880,15228,3,18,1,0,211.07,120000.0,0.0,110000.0,0.0,0.0,75.0,3.8,2013-10-22
1482,time and eternity,915600,14760,5133,3,26,1,0,96.05,170000.0,60000.0,30000.0,60000.0,20000.0,42.0,5.3,2013-07-16
1483,michael jackson: the experience,915420,12180,6194,6,74,0,0,248.34,6180000.0,3830000.0,1760000.0,10000.0,600000.0,64.6,7.7,2010-11-23
1484,rad rodgers,914160,85500,2831,12,476,1,0,41.5,40000.0,40000.0,0.0,0.0,0.0,66.5,5.4,2018-02-21
1485,donkey konga 2,912660,9540,10801,3,67,0,0,261.87,390000.0,300000.0,80000.0,0.0,10000.0,69.0,6.4,2005-05-09
1486,super scribblenauts,907800,4680,8401,5,18,1,0,313.47,1470000.0,1060000.0,300000.0,0.0,110000.0,81.0,8.3,2010-10-12
1487,nancy drew: the phantom of venice,907260,67680,701,6,177,1,0,41.02,10000.0,0.0,0.0,0.0,0.0,69.0,6.7,2008-07-11
1488,rayman arena,906540,25980,6800,6,86,1,0,109.59,740000.0,400000.0,260000.0,0.0,80000.0,61.5,7.6,2002-09-24
1489,zombiu,902220,157320,1486,15,556,0,0,21.92,840000.0,350000.0,370000.0,50000.0,70000.0,77.0,7.8,2012-11-18
1490,ultimate spider-man,902220,143280,1010,8,654,0,0,19.97,1940000.0,1520000.0,280000.0,0.0,150000.0,73.7,7.8,2005-09-22
1491,pac-man world 3,899640,34620,4128,10,57,1,0,140.76999999999995,540000.0,390000.0,100000.0,0.0,50000.0,58.5,7.0,2005-11-15
1492,pro evolution soccer 2008,899520,36540,7632,6,101,1,0,37.72,3640000.0,140000.0,2530000.0,550000.0,430000.0,76.7,6.8,2008-03-12
1493,farming simulator 18,895980,21420,7999,4,107,1,0,150.46,120000.0,60000.0,60000.0,0.0,10000.0,68.0,6.5,2017-06-06
1494,phantasy star online,894060,114120,4212,12,311,0,0,31.770000000000003,200000.0,0.0,0.0,200000.0,0.0,89.0,8.3,2001-01-29
1495,omega quintet,891240,370440,773,12,635,0,0,6.83,30000.0,0.0,0.0,20000.0,0.0,58.0,7.1,2015-04-28
1496,flatout: ultimate carnage,891180,119760,1977,8,453,0,0,21.19,110000.0,70000.0,30000.0,0.0,10000.0,80.0,8.6,2007-10-02
1497,moon,884820,38220,743,9,85,1,0,38.87000000000001,50000.0,40000.0,0.0,0.0,0.0,71.0,7.5,2009-01-13
1498,dogz,884700,4800,8273,3,25,1,0,548.16,1190000.0,950000.0,180000.0,0.0,50000.0,64.5,7.0,2005-11-17
1499,the alliance alive,874260,100440,612,11,114,0,0,33.45,110000.0,40000.0,0.0,60000.0,10000.0,74.0,8.1,2018-03-27
1500,darkened skye,873420,23280,3898,5,50,0,0,157.51,10000.0,10000.0,0.0,0.0,0.0,61.0,7.4,2002-11-16
1501,guitar hero 5,873060,61620,3156,8,357,0,0,59.46,4900000.0,2380000.0,1540000.0,0.0,970000.0,82.8,5.7,2009-09-01
1502,harvest moon: magical melody,871140,142260,655,9,345,0,0,23.19,240000.0,190000.0,50000.0,0.0,10000.0,83.0,8.8,2006-03-28
1503,pac-man and the ghostly adventures 2,870240,960,1920,1,3,1,0,906.5,280000.0,150000.0,90000.0,0.0,40000.0,67.0,6.6,2014-10-14
1504,street fighter alpha 3 max,870060,12000,7360,4,69,1,0,164.23999999999995,330000.0,270000.0,10000.0,20000.0,30000.0,80.0,8.1,2006-02-07
1505,wwe day of reckoning,867240,32940,4130,5,103,0,0,94.62,450000.0,350000.0,90000.0,0.0,10000.0,79.0,8.8,2004-08-30
1506,the getaway,867120,68160,1235,7,122,0,0,48.57,3540000.0,1230000.0,1770000.0,50000.0,490000.0,72.0,6.8,2003-01-19
1507,resident evil archives: resident evil,866640,22620,2888,4,70,1,0,73.52,300000.0,160000.0,40000.0,80000.0,20000.0,76.0,8.6,2009-06-23
1508,steins;gate elite,864660,157020,369,14,306,1,0,11.29,50000.0,0.0,0.0,50000.0,0.0,85.5,7.4,2019-02-19
1509,the lego movie videogame,863640,243780,1158,12,1285,0,0,11.36,5350000.0,2350000.0,2240000.0,120000.0,610000.0,67.9,6.8,2014-02-07
1510,tom clancy's splinter cell: double agent,862020,139980,1317,10,481,0,0,18.15,1230000.0,1010000.0,90000.0,10000.0,100000.0,72.0,7.2,2006-11-28
1511,armored core: for answer,856320,86880,356,8,143,0,0,35.5,150000.0,60000.0,10000.0,70000.0,10000.0,64.0,7.9,2008-09-16
1512,wwe day of reckoning 2,854160,31740,5551,6,119,0,0,100.46,340000.0,260000.0,70000.0,0.0,10000.0,76.0,6.1,2005-08-29
1513,taiko drum master,851760,13080,5406,5,85,1,0,244.58,200000.0,100000.0,80000.0,0.0,30000.0,77.0,8.1,2004-10-26
1514,hyperdimension neptunia mk2,850380,61020,738,7,69,1,0,58.44,10000.0,0.0,10000.0,0.0,0.0,53.0,7.2,2012-02-28
1515,the last story,847860,158760,819,9,234,0,0,21.35,680000.0,310000.0,130000.0,180000.0,50000.0,80.0,8.5,2012-08-14
1516,valkyria chronicles ii,847260,161040,747,10,158,0,0,20.72,540000.0,120000.0,160000.0,180000.0,90000.0,83.0,8.3,2010-08-31
1517,yomawari: the long night collection,840660,67800,1111,10,282,1,0,25.82,50000.0,40000.0,0.0,10000.0,0.0,73.0,6.9,2018-10-30
