,game,Watch_time,Stream_time,Peak_viewers,Peak_channels,Streamers,Average_viewers,Average_channels,Average_viewer_ratio,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date
71,mortal kombat x,635721480,35820660,173044,501,140205,2107,102,85.43,5280000.0,3290000.0,1210000.0,0.0,790000.0,81.7,7.0,2015-04-14
72,farming simulator 17,627007980,62678640,255685,1288,71878,1190,116,48.67,850000.0,190000.0,520000.0,10000.0,130000.0,69.0,6.8,2016-10-25
73,undertale,623790480,41343480,463662,756,129473,1886,117,96.03,30000.0,0.0,0.0,30000.0,0.0,73.0,7.1,2018-09-18
74,titanfall 2,603438060,40793460,471763,986,207349,1142,74,77.91,3290000.0,1690000.0,1110000.0,60000.0,420000.0,87.3,8.4,2016-10-28
75,the long dark,598375920,27057600,141875,486,52884,1136,50,113.1,100000.0,90000.0,0.0,0.0,20000.0,75.5,7.0,2018-09-04
76,dark souls ii,591211200,16662720,217059,194,39128,1121,30,179.37,2040000.0,870000.0,540000.0,420000.0,220000.0,91.0,8.0,2015-04-07
77,dead cells,576965160,24519780,264321,517,73664,1097,45,70.39,160000.0,120000.0,20000.0,0.0,20000.0,88.0,8.2,2018-08-15
78,the evil within 2,566387040,14347620,194815,950,42651,1077,25,91.32,1440000.0,560000.0,590000.0,90000.0,190000.0,79.0,8.8,2017-10-13
79,madden nfl 17,552343200,104321880,51727,2023,141337,1048,196,12.51,3160000.0,2660000.0,140000.0,0.0,350000.0,66.3,3.0,2016-08-23
80,injustice 2,552030660,17679960,89156,1043,51109,1049,32,64.47,2610000.0,1530000.0,700000.0,0.0,380000.0,88.0,8.1,2017-05-16
81,south park: the fractured but whole,531510540,13065780,212727,1119,42153,1010,24,86.05,2050000.0,1020000.0,740000.0,0.0,300000.0,81.5,7.8,2017-10-17
82,alien: isolation,530469300,30600300,72690,494,106393,1007,56,86.25999999999998,2370000.0,800000.0,1250000.0,50000.0,290000.0,74.4,8.2,2014-10-07
83,assassin's creed origins,525140160,28611600,92693,938,98375,997,53,47.62000000000001,6530000.0,2560000.0,3030000.0,110000.0,850000.0,83.0,7.4,2017-10-27
84,resident evil 4,515825160,36691380,262347,895,85296,977,66,69.21000000000001,150000.0,110000.0,0.0,10000.0,30000.0,79.0,8.1,2016-08-30
85,sid meier's civilization vi,509769060,19428840,103138,309,39667,968,35,71.91999999999999,250000.0,120000.0,110000.0,10000.0,20000.0,86.0,7.9,2018-11-16
86,a way out,506677440,15115800,291408,1623,59907,963,28,60.2,720000.0,400000.0,210000.0,0.0,100000.0,78.5,7.8,2018-03-23
87,hitman,490932180,21834360,159989,558,94207,930,39,105.79,1090000.0,440000.0,440000.0,60000.0,140000.0,84.5,7.6,2017-01-31
88,life is strange,486782700,31998180,76807,288,117727,924,59,76.0,540000.0,200000.0,230000.0,50000.0,60000.0,84.3,8.5,2016-01-19
89,farming simulator 19,476366580,36960540,76280,971,39117,905,69,31.89,1050000.0,130000.0,810000.0,0.0,100000.0,68.5,5.8,2018-11-20
90,metal gear solid v: the phantom pain,467000760,66191760,55188,681,154652,1347,184,46.07,4030000.0,1560000.0,1450000.0,520000.0,500000.0,91.0,7.6,2015-09-01
91,fallout: new vegas,465574380,31311720,254536,246,70197,885,58,68.72999999999999,7250000.0,4210000.0,2070000.0,140000.0,830000.0,83.0,8.1,2010-10-19
92,madden nfl 18,457715760,83559900,59703,1854,111812,869,157,12.93,2620000.0,1730000.0,420000.0,0.0,470000.0,82.0,3.7,2017-08-25
93,final fantasy xiv: heavensward,454414740,45541080,51540,617,60612,862,85,20.41,240000.0,40000.0,100000.0,70000.0,20000.0,83.0,8.2,2015-06-23
94,soulcalibur vi,430012320,10353600,77659,615,19611,817,19,79.6,1010000.0,700000.0,120000.0,40000.0,150000.0,84.0,5.6,2018-10-19
95,dragon's dogma: dark arisen,416057700,22249500,125304,1351,42356,2647,82,120.20999999999998,40000.0,40000.0,0.0,0.0,0.0,80.0,7.7,2017-10-03
96,football manager 2019,414289560,11856780,41859,154,10230,787,22,75.28,110000.0,0.0,100000.0,0.0,10000.0,86.0,6.3,2018-11-02
97,far cry: primal,413226960,25158660,168713,870,121543,782,46,54.72999999999999,3980000.0,1210000.0,2180000.0,70000.0,520000.0,75.7,6.2,2016-02-23
98,star wars battlefront,412762680,76925940,103318,1123,68719,1696,253,27.12,5360000.0,3170000.0,1670000.0,30000.0,510000.0,81.0,8.6,2004-09-20
99,middle-earth: shadow of war,411036060,17779680,145043,1045,51929,780,32,52.89000000000001,3260000.0,1600000.0,1170000.0,60000.0,450000.0,78.7,3.9,2017-10-10
100,tera,410229960,62594160,44643,644,85103,778,115,33.47,420000.0,250000.0,130000.0,0.0,40000.0,77.0,6.8,1970-01-01
101,mafia iii,402534360,32252820,169863,3095,105300,761,60,45.59,3980000.0,1260000.0,2150000.0,40000.0,530000.0,67.5,5.0,2016-10-07
102,rise of the tomb raider,398864880,46873740,258585,1585,139537,1455,119,58.53999999999999,370000.0,210000.0,120000.0,0.0,30000.0,52.0,7.7,2015-11-10
103,payday 2,397960320,67939740,122476,619,196507,753,128,29.05,640000.0,360000.0,170000.0,0.0,100000.0,71.0,4.9,2013-08-13
104,prey,396567600,19492080,401702,908,49296,753,35,154.54,360000.0,270000.0,70000.0,0.0,20000.0,80.5,7.8,2006-07-11
